Wall time,Step,Value
1651061350.4191005,5,-1000.0
1651061351.86635,6,-1000.0
1651061355.7271523,10,-1000.0
1651061357.093169,11,-1000.0
1651061361.5198681,13,-1000.0
1651061362.757797,14,-1000.0
1651061364.224564,15,-1000.0
1651061367.4709165,17,-1000.0
1651061368.8417234,18,-1000.0
1651061370.2535868,19,-1000.0
1651061371.4341261,20,-1000.0
1651061382.0350227,24,-1000.0
1651061396.7469761,33,-1000.0
1651061398.004977,34,-1000.0
1651061400.822908,36,-1000.0
1651061406.0042663,39,-1000.0
1651061407.424481,40,-1000.0
1651061409.5980754,42,-1000.0
1651061411.7585688,44,-1000.0
1651061412.7170541,45,-1000.0
1651061414.481211,47,-1000.0
1651061416.585196,49,-1000.0
1651061417.6104288,50,-1000.0
1651061421.9542694,53,-1000.0
1651061423.389359,54,-1000.0
1651061424.827355,55,-1000.0
1651061427.3712482,56,-1000.0
1651061428.6427577,57,-1000.0
1651061431.7506375,60,-1000.0
1651061432.9363341,61,-1000.0
1651061435.0862775,63,-1000.0
1651061436.917555,65,-1000.0
1651061437.81793,66,-1000.0
1651061438.9880257,67,-1000.0
1651061439.9800663,68,-1000.0
1651061443.5320394,71,-1000.0
1651061444.9311373,72,-1000.0
1651061445.959682,73,-1000.0
1651061446.9393907,74,-1000.0
1651061449.3081355,76,-1000.0
1651061453.4321828,79,-1000.0
1651061458.6939986,84,-1000.0
1651061459.672999,85,-1000.0
1651061460.7598765,86,-1000.0
1651061461.9087503,87,-1000.0
1651061462.9273226,88,-1000.0
1651061463.9138157,89,-1000.0
1651061469.101952,94,-1000.0
1651061480.459146,102,-1000.0
1651061484.466199,105,-1000.0
1651061485.4578114,106,-1000.0
1651061492.3210866,113,-1000.0
1651061495.52049,116,-1000.0
1651061498.0890424,118,-1000.0
1651061499.288575,119,-1000.0
1651061500.2489557,120,-1000.0
1651061504.0236306,124,-1000.0
1651061505.0215285,125,-1000.0
1651061505.9712207,126,-1000.0
1651061508.728495,129,-1000.0
1651061509.6423416,130,-1000.0
1651061512.3688338,133,-1000.0
1651061515.9958887,137,-1000.0
1651061518.5637314,139,-1000.0
1651061520.656242,141,-1000.0
1651061521.8170757,142,-1000.0
1651061522.753557,143,-1000.0
1651061523.6981962,144,-1000.0
1651061527.7867577,148,-1000.0
1651061529.987893,150,-1000.0
1651061533.2204301,153,-1000.0
1651061534.283318,154,-1000.0
1651061535.332026,155,-1000.0
1651061537.135005,157,-1000.0
1651061538.572079,158,-1000.0
1651061539.785234,159,-1000.0
1651061542.8722265,162,-1000.0
1651061544.8140118,164,-1000.0
1651061545.9730926,165,-1000.0
1651061547.9684713,167,-1000.0
1651061548.8857138,168,-1000.0
1651061552.2145486,171,-1000.0
1651061557.3292458,176,-1000.0
1651061558.3728056,177,-1000.0
1651061559.395125,178,-1000.0
1651061561.1909003,180,-1000.0
1651061562.4639082,181,-1000.0
1651061564.4959853,183,-1000.0
1651061566.7986908,185,-1000.0
1651061567.7513342,186,-1000.0
1651061568.6336236,187,-1000.0
1651061569.531009,188,-1000.0
1651061571.40711,190,-1000.0
1651061572.841751,191,-1000.0
1651061581.1160052,198,-1000.0
1651061585.8760087,202,-1000.0
1651061590.4256334,206,-1000.0
1651061591.2679222,207,-1000.0
1651061592.4279728,208,-1000.0
1651061597.2250931,212,-1000.0
1651061601.621756,215,-1000.0
1651061604.732563,218,-1000.0
1651061605.715471,219,-1000.0
1651061608.5413535,222,-1000.0
1651061609.4186168,223,-1000.0
1651061611.1847167,225,-1000.0
1651061612.3017025,226,-1000.0
1651061613.5478811,227,-1000.0
1651061616.6434789,229,-1000.0
1651061617.7894654,230,-1000.0
1651061619.846077,232,-1000.0
1651061621.5850708,233,-1000.0
1651061623.7473905,234,-1000.0
1651061629.7028668,237,-1000.0
1651061633.172454,240,-1000.0
1651061638.6481378,245,-1000.0
1651061641.2911594,247,-1000.0
1651061643.293775,249,-1000.0
1651061644.2500699,250,-1000.0
1651061649.7907183,255,-1000.0
1651061652.7735703,258,-1000.0
1651061653.664405,259,-1000.0
1651061654.6460001,260,-1000.0
1651061655.6266177,261,-1000.0
1651061657.7278578,263,-1000.0
1651061661.6999214,267,-1000.0
1651061663.5357988,269,-1000.0
1651061665.4640286,271,-1000.0
1651061667.3491738,273,-1000.0
1651061672.2538867,278,-1000.0
1651061674.222107,280,-1000.0
1651061678.1059153,284,-1000.0
1651061682.9064608,289,-1000.0
1651061685.0436292,291,-1000.0
1651061686.1173863,292,-1000.0
1651061689.2588956,295,-1000.0
1651061691.456412,297,-1000.0
1651061692.464533,298,-1000.0
