Wall time,Step,Value
1651128639.826525,42,0.033344123512506485
1651128640.6028206,94,0.0072289397940039635
1651128642.0013795,167,0.007720557041466236
1651128642.8024087,229,0.024056952446699142
1651128642.8284087,234,0.025816354900598526
1651128643.5347338,273,0.002043607411906123
1651128644.269779,308,0.0009530247189104557
1651128644.2827795,310,0.0011093614157289267
1651128644.3377788,318,0.0010854143183678389
1651128647.2571888,474,0.0017611925723031163
1651128648.5452724,536,0.02909366972744465
1651128649.2562172,579,0.0028889128006994724
1651128649.2942197,586,0.0017400392098352313
1651128650.098215,634,0.010632053017616272
1651128650.6712449,647,0.0025536445900797844
1651128651.5218751,714,0.0009238106431439519
1651128652.0448773,722,0.41226717829704285
1651128653.6264272,808,0.045895494520664215
1651128653.7774253,836,0.01030728779733181
1651128657.387294,1014,0.0563046969473362
1651128658.318344,1066,0.0018428406910970807
1651128659.0024018,1104,0.0005519654368981719
1651128660.496451,1180,0.0025572404265403748
1651128662.0205271,1261,0.0013816332211717963
1651128662.8405411,1316,0.0004349032824393362
1651128662.866529,1319,0.0003291964530944824
1651128663.4826443,1333,0.05868441238999367
1651128663.502646,1337,0.027531154453754425
1651128664.2591953,1385,0.0015066266059875488
1651128664.2992005,1392,0.0011619667056947947
1651128665.076259,1436,0.0026004784740507603
1651128667.252348,1552,0.003422074019908905
1651128670.182559,1691,0.0010007102973759174
1651128670.904629,1734,0.03116081841289997
1651128670.920629,1737,0.009143276140093803
1651128673.247298,1877,0.0008010788587853312
1651128673.9993315,1917,0.0005778848426416516
1651128676.2084055,2036,0.003231461625546217
1651128677.5296535,2096,0.0001748422801028937
1651128679.0438068,2199,0.0002570768119767308
1651128680.3750384,2262,0.0003669786674436182
1651128681.121751,2307,0.00018365535652264953
1651128682.5654068,2389,0.00021317784558050334
1651128683.3351312,2436,0.002176628215238452
1651128684.6626468,2485,0.00016341323498636484
1651128684.6678476,2486,0.00016604765551164746
1651128684.736848,2498,0.0001455039018765092
1651128685.408393,2532,0.008387241512537003
1651128688.841279,2685,0.00027009047335013747
1651128689.828819,2740,0.006962437182664871
1651128695.3883576,2967,0.0006160084158182144
1651128696.5164185,3038,0.0007447588723152876
1651128700.0785692,3161,0.0008288214448839426
1651128701.1399844,3230,0.0005933510838076472
