Wall time,Step,Value
1651128636.6757128,5,-1000.0
1651128637.1292632,6,-1000.0
1651128639.786526,10,-1000.0
1651128640.5006702,11,-1000.0
1651128641.9353771,13,-1000.0
1651128642.606412,14,-1000.0
1651128643.328733,15,-1000.0
1651128644.8569791,17,-1000.0
1651128645.5426166,18,-1000.0
1651128646.2556088,19,-1000.0
1651128647.0491836,20,-1000.0
1651128649.861219,24,-1000.0
1651128656.5072932,33,-1000.0
1651128657.2712944,34,-1000.0
1651128658.8334084,36,-1000.0
1651128661.0984845,39,-1000.0
1651128661.874527,40,-1000.0
1651128663.3806453,42,-1000.0
1651128664.8412187,44,-1000.0
1651128665.565261,45,-1000.0
1651128667.0143468,47,-1000.0
1651128668.571422,49,-1000.0
1651128669.4115293,50,-1000.0
1651128671.5197499,53,-1000.0
1651128672.3227494,54,-1000.0
1651128673.0007513,55,-1000.0
1651128673.7412975,56,-1000.0
1651128674.4463294,57,-1000.0
1651128676.677454,60,-1000.0
1651128677.4146523,61,-1000.0
1651128678.798809,63,-1000.0
1651128680.2140398,65,-1000.0
1651128680.9210885,66,-1000.0
1651128681.661368,67,-1000.0
1651128682.3858693,68,-1000.0
1651128684.6072683,71,-1000.0
1651128685.318395,72,-1000.0
1651128686.023872,73,-1000.0
1651128686.9834614,74,-1000.0
1651128688.7768466,76,-1000.0
1651128691.5343964,79,-1000.0
1651128696.1953611,84,-1000.0
1651128697.1115038,85,-1000.0
1651128698.0366657,86,-1000.0
1651128699.0317063,87,-1000.0
1651128700.0325716,88,-1000.0
1651128700.909698,89,-1000.0
1651128705.528507,94,-1000.0
1651128713.4948113,102,-1000.0
1651128717.2602007,105,-1000.0
1651128718.2648234,106,-1000.0
1651128725.9901485,113,-1000.0
1651128729.5381112,116,-1000.0
1651128731.8529205,118,-1000.0
1651128733.0749173,119,-1000.0
1651128734.2390697,120,-1000.0
1651128737.6802835,124,-1000.0
1651128738.6042662,125,-1000.0
1651128739.4811184,126,-1000.0
1651128742.0899992,129,-1000.0
1651128742.9816277,130,-1000.0
1651128745.8813875,133,-1000.0
1651128749.422125,137,-1000.0
1651128751.0894108,139,-1000.0
1651128753.1892369,141,-1000.0
1651128754.8059256,142,-1000.0
1651128755.9040115,143,-1000.0
1651128756.8971105,144,-1000.0
1651128760.996597,148,-1000.0
1651128762.8697639,150,-1000.0
1651128765.8712432,153,-1000.0
1651128767.0872035,154,-1000.0
1651128768.0242126,155,-1000.0
1651128770.0347466,157,-1000.0
1651128771.0216622,158,-1000.0
1651128772.0682209,159,-1000.0
1651128775.3099182,162,-1000.0
1651128777.3759956,164,-1000.0
1651128778.3421578,165,-1000.0
1651128780.2435596,167,-1000.0
1651128781.1561604,168,-1000.0
1651128784.228822,171,-1000.0
1651128788.9540408,176,-1000.0
1651128789.8945956,177,-1000.0
1651128790.9341958,178,-1000.0
1651128792.9026892,180,-1000.0
1651128794.064827,181,-1000.0
