Wall time,Step,Value
1651070963.6213398,5,-1000.0
1651070964.0809631,6,-1000.0
1651070966.5842583,10,-1000.0
1651070967.3105073,11,-1000.0
1651070968.8548026,13,-1000.0
1651070969.7538207,14,-1000.0
1651070970.4965167,15,-1000.0
1651070971.965414,17,-1000.0
1651070972.6361413,18,-1000.0
1651070973.3484302,19,-1000.0
1651070973.9977155,20,-1000.0
1651070976.700174,24,-1000.0
1651070982.727577,33,-1000.0
1651070983.379834,34,-1000.0
1651070984.6918066,36,-1000.0
1651070986.7044683,39,-1000.0
1651070987.3703716,40,-1000.0
1651070988.730515,42,-1000.0
1651070990.1547503,44,-1000.0
1651070990.8679352,45,-1000.0
1651070992.3656697,47,-1000.0
1651070993.864085,49,-1000.0
1651070994.5696576,50,-1000.0
1651070996.7337909,53,-1000.0
1651070997.518475,54,-1000.0
1651070998.2701373,55,-1000.0
1651070998.9942467,56,-1000.0
1651070999.784286,57,-1000.0
1651071001.9757235,60,-1000.0
1651071002.8345044,61,-1000.0
1651071004.4080791,63,-1000.0
1651071005.9976242,65,-1000.0
1651071006.7512033,66,-1000.0
1651071007.6196508,67,-1000.0
1651071008.4480019,68,-1000.0
1651071010.78409,71,-1000.0
1651071011.5659533,72,-1000.0
1651071012.3503366,73,-1000.0
1651071013.201102,74,-1000.0
1651071014.7693746,76,-1000.0
1651071017.0733325,79,-1000.0
1651071021.1067758,84,-1000.0
1651071021.9007866,85,-1000.0
1651071022.6984336,86,-1000.0
1651071023.473084,87,-1000.0
1651071024.2473626,88,-1000.0
1651071025.0236619,89,-1000.0
1651071028.939932,94,-1000.0
1651071035.3655722,102,-1000.0
1651071037.675108,105,-1000.0
1651071038.4344742,106,-1000.0
1651071043.9524672,113,-1000.0
1651071046.3006623,116,-1000.0
1651071047.8475146,118,-1000.0
1651071048.642632,119,-1000.0
1651071049.4292796,120,-1000.0
1651071052.5572217,124,-1000.0
1651071053.3378043,125,-1000.0
1651071054.1333017,126,-1000.0
1651071056.5233705,129,-1000.0
1651071057.2921011,130,-1000.0
1651071059.5169258,133,-678.0
1651071062.7633908,137,-1000.0
1651071064.380533,139,-1000.0
1651071066.009446,141,-779.0
1651071066.791794,142,-1000.0
1651071067.6002338,143,-1000.0
1651071068.3049355,144,-838.0
1651071071.1913087,148,-613.0
1651071072.770442,150,-1000.0
1651071075.1118603,153,-1000.0
1651071077.119541,154,-1000.0
1651071078.0393915,155,-1000.0
1651071079.6082153,157,-1000.0
1651071080.3772893,158,-1000.0
1651071081.1549544,159,-1000.0
1651071083.5382895,162,-1000.0
1651071085.079568,164,-1000.0
1651071085.8681142,165,-1000.0
1651071087.491867,167,-1000.0
1651071088.2944405,168,-1000.0
1651071090.5944648,171,-1000.0
1651071094.5406291,176,-1000.0
1651071095.3195603,177,-1000.0
1651071096.0923407,178,-1000.0
1651071097.7585459,180,-1000.0
1651071098.5878813,181,-1000.0
1651071100.178382,183,-1000.0
1651071101.734431,185,-1000.0
1651071102.543181,186,-1000.0
1651071103.3330405,187,-1000.0
1651071104.1040926,188,-1000.0
1651071105.6907003,190,-1000.0
1651071106.46683,191,-1000.0
1651071112.021946,198,-1000.0
1651071115.2139668,202,-1000.0
1651071118.3745058,206,-1000.0
1651071119.165169,207,-1000.0
1651071119.9241867,208,-1000.0
1651071123.1396031,212,-1000.0
1651071125.700758,215,-1000.0
1651071128.0222912,218,-1000.0
1651071128.888924,219,-1000.0
1651071131.345048,222,-1000.0
1651071132.13944,223,-1000.0
1651071133.7098336,225,-1000.0
1651071134.4926674,226,-1000.0
1651071135.2913902,227,-1000.0
1651071136.8526292,229,-1000.0
1651071137.647629,230,-1000.0
1651071139.2347062,232,-1000.0
1651071140.0507658,233,-1000.0
1651071140.8299675,234,-1000.0
1651071143.2310944,237,-1000.0
1651071145.6628766,240,-1000.0
1651071149.5512223,245,-1000.0
1651071151.1498153,247,-1000.0
1651071152.333146,249,-1000.0
1651071153.1405299,250,-1000.0
1651071158.8265867,255,-1000.0
1651071161.8358808,258,-1000.0
1651071163.039482,259,-1000.0
1651071163.9682634,260,-1000.0
1651071164.6157978,261,-413.0
1651071166.5685148,263,-1000.0
1651071169.5623996,267,-127.0
1651071170.9210055,269,-1000.0
1651071171.7544167,271,-128.0
1651071173.1807466,273,-195.0
1651071176.0135822,278,-117.0
1651071177.024521,280,-128.0
1651071179.2816014,284,-280.0
1651071181.601823,289,-179.0
1651071182.4529595,291,-174.0
1651071183.2957711,292,-171.0
1651071185.2565236,295,-241.0
1651071186.0725746,297,-236.0
1651071186.4513378,298,-216.0
1651071186.8314736,299,-228.0
1651071187.6449122,301,-222.0
1651071187.982392,302,-166.0
1651071188.3805962,303,-243.0
1651071190.108251,307,-191.0
1651071190.5077832,308,-194.0
1651071191.3136063,310,-203.0
1651071192.4340827,313,-149.0
1651071193.8752413,317,-185.0
1651071194.207541,318,-138.0
1651071194.5719464,319,-184.0
1651071194.927082,320,-136.0
1651071195.65709,322,-134.0
1651071197.1647298,325,-203.0
1651071197.969356,326,-1000.0
1651071198.340981,327,-206.0
1651071199.8648229,330,-181.0
1651071200.243458,331,-161.0
1651071201.0119817,333,-172.0
1651071203.1749992,339,-168.0
1651071203.8622818,341,-181.0
1651071204.964408,344,-162.0
1651071205.3810523,345,-141.0
1651071206.6644921,347,-1000.0
1651071206.9988282,348,-138.0
1651071209.185475,353,-171.0
1651071209.513878,354,-139.0
1651071210.2881613,356,-358.0
1651071211.339477,358,-145.0
1651071211.6997893,359,-136.0
1651071212.0391238,360,-135.0
1651071213.8309712,363,-740.0
1651071214.1731305,364,-139.0
1651071215.60366,367,-139.0
1651071215.934245,368,-137.0
1651071216.6977162,370,-146.0
1651071217.1174197,371,-209.0
1651071217.8715942,373,-136.0
1651071219.1834483,377,-139.0
1651071219.5198817,378,-141.0
1651071219.8463736,379,-139.0
1651071220.5441887,381,-145.0
1651071220.8815415,382,-138.0
1651071222.0795538,385,-132.0
1651071222.4079256,386,-140.0
1651071222.789927,387,-230.0
1651071223.1327643,388,-154.0
1651071223.8210018,390,-140.0
1651071224.1531322,391,-138.0
1651071224.4921174,392,-138.0
1651071224.958699,393,-420.0
1651071229.1883008,402,-144.0
1651071229.5243585,403,-142.0
1651071230.4399145,405,-138.0
1651071231.5320244,408,-185.0
1651071234.1025608,415,-134.0
1651071234.4385595,416,-140.0
1651071235.8351288,420,-178.0
1651071236.1701834,421,-148.0
1651071236.944448,422,-1000.0
1651071237.7340531,424,-149.0
1651071238.728556,426,-700.0
1651071240.0952446,430,-148.0
1651071244.0525148,439,-237.0
1651071244.4329362,440,-146.0
1651071244.9295523,441,-227.0
1651071245.5402725,442,-199.0
1651071246.416457,444,-153.0
1651071246.7803152,445,-150.0
1651071248.0441613,448,-209.0
1651071249.2196636,451,-151.0
1651071251.7543027,458,-201.0
1651071252.1115236,459,-145.0
1651071252.5044112,460,-221.0
1651071252.8584116,461,-142.0
1651071253.607145,463,-145.0
1651071253.9534183,464,-149.0
1651071254.3025,465,-152.0
1651071255.00671,467,-134.0
1651071255.3434253,468,-135.0
1651071255.6844594,469,-139.0
1651071256.4127698,471,-148.0
1651071257.1352904,473,-137.0
1651071257.4738483,474,-151.0
1651071258.917948,478,-133.0
1651071261.3711586,485,-151.0
1651071262.3985252,488,-147.0
1651071262.7233112,489,-138.0
1651071263.87537,491,-135.0
1651071264.7533953,493,-215.0
1651071265.8181164,496,-148.0
1651071270.0195844,507,-144.0
1651071271.0610304,510,-143.0
1651071271.4119768,511,-150.0
1651071271.7502112,512,-150.0
1651071272.4662113,514,-143.0
1651071273.1183462,516,-140.0
1651071273.4587007,517,-145.0
1651071274.1067865,519,-136.0
1651071275.8735077,524,-153.0
1651071276.1974769,525,-138.0
1651071278.1810899,531,-142.0
1651071278.8754058,533,-144.0
1651071279.1948643,534,-138.0
1651071279.5218875,535,-141.0
1651071279.856381,536,-143.0
1651071280.2293098,537,-138.0
1651071280.5706177,538,-140.0
1651071280.9294078,539,-184.0
1651071281.2679086,540,-143.0
1651071281.604235,541,-142.0
1651071281.9750845,542,-141.0
1651071282.7018714,544,-131.0
1651071283.7322,547,-146.0
1651071284.052199,548,-140.0
1651071284.377706,549,-145.0
1651071285.2376385,551,-143.0
1651071286.6344619,555,-143.0
1651071287.7643032,557,-150.0
1651071288.458101,559,-202.0
1651071290.2796204,563,-1000.0
1651071290.6642544,564,-151.0
1651071291.0634258,565,-162.0
1651071291.8374898,567,-144.0
1651071292.5341744,569,-143.0
1651071293.2574515,571,-205.0
1651071293.926099,573,-166.0
1651071294.2616448,574,-152.0
1651071295.3144326,577,-278.0
1651071296.0691202,579,-149.0
1651071296.451781,580,-142.0
1651071296.8527355,581,-150.0
1651071297.2148466,582,-152.0
1651071297.5556755,583,-152.0
1651071297.8886762,584,-145.0
1651071298.56335,586,-153.0
1651071298.9035287,587,-163.0
1651071301.1819272,592,-151.0
1651071301.5875876,593,-165.0
1651071302.3011112,595,-146.0
1651071302.6378644,596,-142.0
1651071303.4212568,597,-946.0
1651071304.5845523,600,-153.0
1651071305.316978,602,-146.0
1651071305.9965513,604,-145.0
1651071306.732644,606,-151.0
1651071307.5426319,608,-233.0
1651071308.2894516,610,-142.0
1651071308.6356232,611,-149.0
1651071308.9741504,612,-146.0
1651071310.004104,615,-148.0
1651071311.4030907,619,-143.0
1651071311.7473357,620,-147.0
1651071312.4842055,622,-147.0
1651071312.838314,623,-152.0
1651071313.7180176,625,-383.0
1651071315.1081426,629,-145.0
1651071316.7807155,634,-145.0
1651071319.278662,641,-147.0
1651071319.6200197,642,-147.0
1651071320.3112934,644,-149.0
1651071320.661205,645,-145.0
1651071321.0238938,646,-145.0
1651071321.3622596,647,-148.0
1651071321.7313743,648,-214.0
1651071322.0603824,649,-148.0
1651071322.7728949,651,-145.0
1651071323.1094744,652,-141.0
1651071324.533137,656,-142.0
1651071324.8971324,657,-147.0
1651071325.6066933,659,-147.0
1651071326.330508,661,-149.0
1651071327.3566246,664,-157.0
1651071328.1384692,666,-158.0
1651071328.5779223,667,-338.0
1651071328.9269269,668,-152.0
1651071330.1703873,671,-555.0
1651071330.5058675,672,-150.0
1651071330.847854,673,-147.0
1651071331.1818993,674,-146.0
1651071331.5309541,675,-142.0
1651071332.2061732,677,-144.0
1651071332.5320141,678,-148.0
1651071332.8852608,679,-146.0
1651071333.5602067,681,-145.0
1651071333.8972037,682,-147.0
1651071334.2279422,683,-157.0
1651071334.5909474,684,-161.0
1651071334.9289408,685,-146.0
1651071335.257042,686,-146.0
1651071335.9238605,688,-153.0
1651071336.2619205,689,-153.0
1651071337.296003,692,-143.0
1651071338.7365708,696,-151.0
1651071339.7335854,699,-144.0
1651071340.0595784,700,-147.0
1651071340.3995798,701,-148.0
1651071341.5731516,703,-1000.0
1651071341.9098327,704,-152.0
1651071342.2410896,705,-148.0
1651071342.5636597,706,-143.0
1651071343.2752612,708,-149.0
1651071343.6332667,709,-144.0
1651071343.9888732,710,-145.0
1651071345.3652587,714,-151.0
1651071346.6999211,718,-155.0
1651071347.0370436,719,-152.0
1651071347.7198722,721,-148.0
1651071348.077565,722,-145.0
1651071348.4508717,723,-156.0
1651071348.8492508,724,-144.0
1651071349.2097347,725,-151.0
1651071349.5618145,726,-153.0
1651071350.5598116,729,-143.0
1651071350.8909082,730,-143.0
1651071352.9871116,736,-144.0
1651071353.6893234,738,-146.0
1651071354.0618045,739,-147.0
1651071354.4287236,740,-157.0
1651071354.8088171,741,-150.0
1651071355.506453,743,-145.0
1651071356.526016,746,-153.0
1651071356.8667204,747,-155.0
1651071357.8646054,750,-144.0
1651071358.2336595,751,-153.0
1651071358.559828,752,-145.0
1651071359.2734163,754,-147.0
