时间,排名,热搜内容,地域,主题,上榜时间,最后时间
2020/2/19 12:00,11,600名务工人员免费坐高铁复工,国内,复工-生产|企业-包高铁,2020/2/19 13:34,"2020/2/19
9:46"
2020/2/19 12:00,13,全国累计确诊新冠肺炎74185例,国内,疫情-播报,2020/2/19 13:22,"2020/2/19
8:16"
2020/2/19 12:00,17,2次检测阴性出院后又确诊,国内,疫情-新增|疫情-复发,2020/2/19 18:26,"2020/2/19
11:26"
2020/2/19 12:00,18,北京新增6例新型肺炎,国内-北京,疫情-新增,2020/2/19 15:54,"2020/2/19
10:44"
2020/2/19 12:00,25,新冠肺炎女童出院跳舞感谢医护,国内,疫情-减少|医护-致谢,2020/2/19 15:30,"2020/2/19
10:06"
2020/2/19 12:00,30,新加坡严惩违反居家隔离制度者,国外-新加坡,防控-严惩,2020/2/19 13:24,"2020/2/19
11:06"
2020/2/19 12:00,31,实探郑州富士康复工,国内-河南-郑州,复工-生产,2020/2/19 13:46,"2020/2/19
10:46"
2020/2/19 12:00,32,中山大学给湖北籍学生发慰问金,国内,政府-慰问,2020/2/19 16:16,"2020/2/19
11:50"
2020/2/19 12:00,33,撤销蛙类养殖专业委员会,国内,其他,2020/2/19 14:08,"2020/2/19
11:14"
2020/2/19 12:00,34,国务院决定阶段性减免企业社保费,国内,政府-企业扶持,2020/2/19 12:22,"2020/2/18
20:04"
2020/2/19 12:00,38,钟南山为有体力工作坚持健身,国内,人物-钟南山,2020/2/19 14:36,"2020/2/19
7:28"
2020/2/19 12:00,41,钻石公主号首批约500名乘客下船,国外-游轮,资讯-钻石公主号,2020/2/19 16:16,"2020/2/19
11:50"
2020/2/19 12:00,42,武汉非新冠肺炎特殊患者救治医院名单,国内-湖北-武汉,医护-定点医院,2020/2/19 12:16,"2020/2/19
8:44"
2020/2/19 12:00,43,疫情防控严禁过度执法粗暴执法,国内,政府-执法,2020/2/19 12:18,"2020/2/19
11:20"
2020/2/19 12:00,44,日本国内累计确诊616例,国外-日本,疫情-播报,2020/2/19 13:06,"2020/2/18
23:28"
2020/2/19 12:00,46,湖北新增1693例新冠肺炎,国内-湖北,疫情-新增,2020/2/19 12:26,"2020/2/19
7:10"
2020/2/19 12:00,48,浙江推出中药预防疫病推荐方,国内-浙江,疫情-中药,2020/2/19 12:08,"2020/2/19
11:26"
2020/2/19 12:00,50,世卫官员点赞中国返城复工疫情防控,国外,WHO|防控-评价,2020/2/19 12:02,"2020/2/19
8:18"
2020/2/18 12:00,1,钟南山谈新冠肺炎疫情峰值,国内,人物-钟南山,2020/2/18 17:04,"2020/2/18
7:32"
2020/2/18 12:00,2,北京为复工单位个人定制公交,国内-北京,防控-公交,2020/2/18 16:42,"2020/2/18
10:10"
2020/2/18 12:00,3,世卫组织不提高疫情全球风险级别,国外,WHO|防控-评价,2020/2/18 16:12,2020/2/18 10:46
2020/2/18 12:00,10,中储粮湖北库存满足湖北半年以上需求,国内-湖北,物资-粮食,2020/2/18 16:14,"2020/2/18
11:38"
2020/2/18 12:00,11,钻石公主号所有人员样本采集完毕,国外-游轮,资讯-钻石公主号,2020/2/18 15:40,"2020/2/18
10:22"
2020/2/18 12:00,12,武汉通报4起防疫违纪问题,国内-湖北-武汉,政府-问责,2020/2/18 14:02,"2020/2/18
11:12"
2020/2/18 12:00,13,孝感缺N95防护服无创呼吸机,国内-湖北-孝感,物资-防护服|物资-呼吸机,2020/2/18 13:24,"2020/2/18
8:52"
2020/2/18 12:00,14,全国累计确诊新冠肺炎72436例,国内,疫情-播报,2020/2/18 14:28,"2020/2/18
8:04"
2020/2/18 12:00,19,义乌包车去全国各地接回员工,国内-浙江-义乌,复工-生产|企业-包车,2020/2/18 15:18,"2020/2/18
11:30"
2020/2/18 12:00,21,日本司机采访中被告知确诊新冠肺炎,国外-日本,疫情-新增,2020/2/18 16:58,"2020/2/18
9:02"
2020/2/18 12:00,23,央企累计捐款超过25亿元,国内,政府-捐款|企业-捐款,2020/2/18 14:46,"2020/2/18
11:44"
2020/2/18 12:00,26,武汉市民现在如何购物,国内-湖北-武汉,人民-购物,2020/2/18 15:38,"2020/2/18
8:10"
2020/2/18 12:00,27,黑龙江疫情重点地区实施严九条,国内-黑龙江,防控-措施,2020/2/18 14:24,"2020/2/18
9:40"
2020/2/18 12:00,28,食品厂硬核防疫复工,国内,复工-生产|企业-食品厂,2020/2/18 15:16,"2020/2/18
10:32"
2020/2/18 12:00,31,武汉疫情防控特别优秀的可破格提拔,国内-湖北-武汉,政府-提拔,2020/2/18 12:50,"2020/2/18
8:20"
2020/2/18 12:00,34,因公感染新冠肺炎殉职者应评定为烈士,国内,政府-措施,2020/2/18 19:14,"2020/2/17
22:20"
2020/2/18 12:00,35,连续6天治愈出院超千人,国内,疫情-减少,2020/2/18 13:20,"2020/2/18
9:40"
