,Step,Value
0,5,-1000.0
1,6,-1000.0
2,10,-1000.0
3,11,-1000.0
4,13,-1000.0
5,14,-1000.0
6,15,-1000.0
7,17,-1000.0
8,18,-1000.0
9,19,-1000.0
10,20,-1000.0
11,24,-1000.0
12,33,-1000.0
13,34,-1000.0
14,36,-1000.0
15,39,-1000.0
16,40,-1000.0
17,42,-1000.0
18,44,-1000.0
19,45,-1000.0
20,47,-1000.0
21,49,-1000.0
22,50,-1000.0
23,53,-1000.0
24,54,-1000.0
25,55,-1000.0
26,56,-1000.0
27,57,-1000.0
28,60,-1000.0
29,61,-1000.0
30,63,-1000.0
31,65,-1000.0
32,66,-1000.0
33,67,-1000.0
34,68,-1000.0
35,71,-1000.0
36,72,-1000.0
37,73,-1000.0
38,74,-1000.0
39,76,-1000.0
40,79,-1000.0
41,84,-1000.0
42,85,-1000.0
43,86,-1000.0
44,87,-1000.0
45,88,-1000.0
46,89,-1000.0
47,94,-1000.0
48,102,-1000.0
49,105,-1000.0
50,106,-1000.0
51,113,-1000.0
52,116,-1000.0
53,118,-1000.0
54,119,-1000.0
55,120,-1000.0
56,124,-1000.0
57,125,-1000.0
58,126,-1000.0
59,129,-1000.0
60,130,-1000.0
61,133,-1000.0
62,137,-1000.0
63,139,-1000.0
64,141,-1000.0
65,142,-1000.0
66,143,-1000.0
67,144,-1000.0
68,148,-1000.0
69,150,-1000.0
70,153,-1000.0
71,154,-1000.0
72,155,-1000.0
73,157,-1000.0
74,158,-1000.0
75,159,-1000.0
76,162,-1000.0
77,164,-1000.0
78,165,-1000.0
79,167,-1000.0
80,168,-1000.0
81,171,-1000.0
82,176,-1000.0
83,177,-1000.0
84,178,-1000.0
85,180,-1000.0
86,181,-1000.0
87,183,-1000.0
88,185,-1000.0
89,186,-1000.0
90,187,-1000.0
91,188,-1000.0
92,190,-1000.0
93,191,-1000.0
94,198,-1000.0
95,202,-927.0
96,206,-861.2
97,207,-792.2800000000001
98,208,-813.0520000000001
99,212,-743.5468000000001
100,215,-681.59212
101,218,-625.632908
102,219,-575.0696172
103,222,-542.9626554800001
104,223,-505.4663899320001
105,225,-472.61975093880005
106,226,-437.25777584492005
107,227,-409.93199826042803
108,229,-385.93879843438526
109,230,-364.84491859094675
110,232,-342.4604267318521
111,233,-323.4143840586669
112,234,-305.57294565280023
113,237,-289.9156510875202
114,240,-275.4240859787682
115,245,-262.88167738089135
116,247,-251.8935096428022
117,249,-241.804158678522
118,250,-232.5237428106698
119,255,-223.87136852960282
120,258,-215.78423167664255
121,259,-209.0058085089783
122,260,-202.60522765808048
123,261,-197.54470489227242
124,263,-192.39023440304518
125,267,-188.65121096274066
126,269,-184.2860898664666
127,271,-179.95748087981994
128,273,-175.96173279183796
129,278,-172.76555951265416
130,280,-175.08900356138875
131,284,-176.9801032052499
132,289,-187.0820928847249
133,291,-191.9738835962524
134,292,-218.47649523662716
135,295,-296.62884571296445
136,297,-282.565961141668
137,298,-308.5093650275012
138,299,-302.258428524751
139,301,-292.6325856722759
140,302,-279.96932710504836
141,303,-265.3723943945435
142,307,-254.13515495508915
143,308,-245.02163945958023
144,310,-238.1194755136222
145,313,-227.60752796226
146,317,-219.946775166034
147,318,-211.5520976494306
148,319,-209.69688788448752
149,320,-202.7271990960388
150,322,-196.25447918643493
151,325,-190.82903126779144
152,326,-185.7461281410123
153,327,-187.37151532691107
154,330,-182.33436379421994
155,331,-177.70092741479795
156,333,-174.03083467331814
157,339,-170.62775120598633
158,341,-167.5649760853877
159,344,-165.10847847684892
160,345,-163.09763062916403
161,347,-161.0878675662476
162,348,-159.77908080962283
163,353,-157.90117272866055
164,354,-156.3110554557945
165,356,-154.77994991021504
166,358,-171.00195491919354
167,359,-168.10175942727417
168,360,-171.99158348454674
169,363,-168.19242513609208
170,364,-167.2731826224829
171,367,-165.3458643602346
172,368,-171.31127792421114
173,370,-168.48015013179003
174,371,-166.332135118611
175,373,-249.69892160674988
176,377,-324.72902944607483
177,378,-392.2561265014673
178,379,-453.0305138513205
179,381,-421.92746246618844
180,382,-396.1347162195696
181,385,-370.3212445976127
182,386,-346.8891201378515
183,387,-342.90020812406635
184,388,-321.8101873116597
185,390,-315.32916858049373
186,391,-297.0962517224444
187,392,-281.88662655019994
188,393,-277.09796389517993
189,402,-263.488167505662
190,403,-251.23935075509578
191,405,-239.8154156795862
192,408,-230.13387411162756
193,415,-227.22048670046482
194,416,-218.19843803041832
195,420,-210.1785942273765
196,421,-220.96073480463883
197,422,-298.8646613241749
198,424,-283.57819519175746
199,426,-355.22037567258167
200,430,-334.5983381053235
201,439,-401.1385042947911
202,440,-461.02465386531196
203,441,-428.32218847878073
204,442,-399.2899696309027
205,444,-373.86097266781246
206,445,-356.77487540103124
207,448,-340.6973878609281
208,451,-406.6276490748353
209,458,-465.9648841673518
210,459,-519.3683957506166
211,460,-567.431556175555
212,461,-532.2884005579995
213,463,-498.9595605021995
214,464,-472.3636044519796
215,465,-439.62724400678167
216,467,-421.8645196061035
217,468,-393.37806764549316
218,469,-367.7402608809438
219,471,-349.5662347928494
220,473,-328.2096113135645
221,474,-310.18865018220805
222,478,-379.16978516398717
223,485,-441.2528066475884
224,488,-497.1275259828295
225,489,-461.4147733845466
226,491,-515.2732960460919
227,493,-563.7459664414827
228,496,-607.3713697973344
229,507,-646.634232817601
230,510,-601.2708095358408
231,511,-641.1437285822568
232,512,-597.3293557240311
233,514,-559.596420151628
234,516,-603.6367781364652
235,517,-643.2731003228187
236,519,-600.5457902905368
237,524,-554.8912112614831
238,525,-519.3020901353349
239,531,-481.3718811218014
240,533,-447.3346930096213
241,534,-502.6012237086592
242,535,-552.3411013377932
243,536,-511.8069912040139
244,537,-476.12629208361255
245,538,-528.5136628752513
246,539,-491.3622965877261
247,540,-458.32606692895354
248,541,-512.4934602360581
249,542,-482.2441142124523
250,544,-449.8197027912071
251,547,-504.8377325120864
252,548,-554.3539592608778
253,549,-514.61856333479
254,551,-478.75670700131104
255,555,-446.28103630117994
256,557,-417.3529326710619
257,559,-390.51763940395574
258,563,-366.16587546356016
259,564,-344.9492879172041
260,565,-325.75435912548375
261,567,-308.4789232129354
262,569,-360.0310308916418
263,571,-368.82792780247763
264,573,-346.7451350222299
265,574,-330.6706215200069
266,577,-313.9035593680062
267,579,-297.3132034312056
268,580,-282.68188308808504
269,581,-269.9136947792765
270,582,-257.22232530134886
271,583,-246.60009277121398
272,584,-236.54008349409258
273,586,-258.5860751446833
274,587,-246.92746763021498
275,592,-236.43472086719348
276,593,-227.39124878047411
277,595,-218.85212390242668
278,596,-211.36691151218403
279,597,-204.73022036096563
280,600,-201.65719832486909
281,602,-195.99147849238219
282,604,-190.99233064314396
283,606,-186.29309757882956
284,608,-182.86378782094658
285,610,-179.07740903885193
286,611,-175.56966813496675
287,612,-172.31270132147006
288,615,-169.98143118932308
289,619,-167.8832880703908
290,620,-165.7949592633517
291,622,-163.71546333701653
292,623,-161.84391700331489
293,625,-159.8595253029834
294,629,-158.87357277268507
295,634,-157.68621549541655
296,641,-156.8175939458749
297,642,-156.8358345512874
298,644,-155.85225109615865
299,645,-157.06702598654277
300,646,-156.4603233878885
301,647,-155.61429104909968
302,648,-155.1528619441897
303,649,-154.73757574977074
304,651,-154.66381817479368
305,652,-161.49743635731429
306,656,-160.54769272158285
307,657,-159.49292344942458
308,659,-158.34363110448214
309,661,-157.50926799403393
310,664,-156.55834119463054
311,666,-155.7025070751675
312,667,-156.13225636765074
313,668,-156.91903073088568
314,671,-156.22712765779713
315,672,-155.50441489201742
316,673,-154.65397340281567
317,674,-153.9885760625341
318,675,-154.28971845628067
319,677,-153.9607466106526
320,678,-155.26467194958732
321,679,-155.33820475462858
322,681,-154.90438427916573
323,682,-155.41394585124917
324,683,-155.17255126612423
325,684,-156.15529613951182
326,685,-155.63976652556065
327,686,-155.9757898730046
328,688,-154.97821088570413
329,689,-153.9803897971337
330,692,-156.18235081742034
331,696,-155.1641157356783
332,699,-163.64770416211047
333,700,-162.28293374589944
334,701,-160.75464037130948
335,703,-160.17917633417852
336,704,-159.96125870076065
337,705,-181.36513283068456
338,706,-178.02861954761613
339,708,-174.52575759285452
340,709,-171.67318183356906
341,710,-170.70586365021214
342,714,-168.03527728519094
343,718,-167.03174955667185
344,719,-165.92857460100467
345,721,-165.6357171409042
346,722,-163.4721454268138
347,723,-162.42493088413244
348,724,-161.2824377957192
349,725,-160.4541940161473
350,726,-159.20877461453256
351,729,-158.2878971530793
352,730,-157.9591074377714
353,736,-157.36319669399424
354,738,-157.02687702459482
355,739,-156.32418932213534
356,740,-156.5917703899218
357,741,-158.63259335092962
358,743,-242.76933401583665
359,746,-233.992400614253
360,747,-225.4931605528277
361,750,-218.94384449754494
362,751,-211.94946004779047
363,752,-205.85451404301142
364,754,-200.6690626387103
365,756,-195.70215637483926
366,759,-191.53194073735534
367,760,-188.4787466636198
368,762,-184.13087199725783
369,765,-181.11778479753207
370,766,-177.90600631777886
371,767,-176.01540568600097
372,769,-173.71386511740087
373,770,-171.5424786056608
374,771,-169.6882307450947
375,773,-167.81940767058524
376,774,-165.4374669035267
377,775,-163.99372021317404
378,780,-163.39434819185664
379,784,-163.35491337267098
380,785,-162.0194220354039
381,787,-161.4174798318635
382,789,-159.87573184867713
383,791,-158.98815866380943
384,792,-159.5893427974285
385,793,-158.73040851768565
386,794,-158.05736766591707
387,795,-157.05163089932535
388,796,-155.9464678093928
389,798,-155.4518210284535
390,800,-155.10663892560814
391,802,-154.8959750330473
392,805,-155.30637752974258
393,807,-154.67573977676832
394,808,-154.2081657990915
395,809,-153.68734921918235
396,813,-153.51861429726412
397,815,-153.56675286753773
398,816,-153.51007758078396
399,818,-153.25906982270556
400,821,-153.43316284043502
401,823,-154.3898465563915
402,824,-154.25086190075234
403,825,-154.0257757106771
404,828,-154.7231981396094
405,831,-154.95087832564846
406,832,-154.5557904930836
407,834,-154.80021144377523
408,836,-154.7201902993977
409,838,-154.94817126945793
410,843,-154.35335414251216
411,845,-154.21801872826097
412,846,-153.99621685543488
413,847,-154.6965951698914
414,848,-154.52693565290224
415,851,-154.274242087612
416,857,-154.0468178788508
417,859,-154.94213609096573
418,860,-155.04792248186916
419,861,-155.14313023368226
420,862,-156.02881721031403
421,863,-202.3259354892826
422,867,-197.09334194035435
423,869,-192.98400774631892
424,870,-190.28560697168703
425,873,-187.5570462745183
426,874,-192.4013416470665
427,875,-188.66120748235986
428,876,-185.6950867341239
429,877,-182.7255780607115
430,879,-180.25302025464038
431,880,-177.62771822917634
432,881,-175.06494640625868
433,882,-172.95845176563282
434,884,-171.06260658906953
435,887,-168.65634593016256
436,889,-167.09071133714633
437,890,-165.5816402034317
438,892,-164.02347618308855
439,893,-163.2211285647797
440,896,-162.19901570830172
441,897,-160.97911413747156
442,899,-160.28120272372442
443,900,-159.85308245135198
444,907,-159.76777420621679
445,908,-159.0909967855951
446,909,-158.6818971070356
447,910,-158.61370739633207
448,911,-158.35233665669887
449,912,-157.517102991029
450,913,-157.16539269192612
451,915,-156.6488534227335
452,916,-156.28396808046017
453,917,-155.85557127241415
454,920,-155.27001414517275
455,921,-156.0430127306555
456,922,-155.33871145758997
457,923,-155.204840311831
458,925,-154.6843562806479
459,931,-155.81592065258312
460,932,-155.7343285873248
461,933,-155.8608957285923
462,935,-155.57480615573309
463,939,-155.71732554015978
464,942,-156.7455929861438
465,945,-158.07103368752942
466,949,-158.46393031877648
467,952,-157.91753728689883
468,953,-158.32578355820894
469,954,-157.79320520238804
470,956,-158.51388468214924
471,957,-231.2624962139343
472,958,-223.9362465925409
473,961,-217.2426219332868
474,962,-211.51835973995813
475,964,-206.4665237659623
476,966,-202.6198713893661
477,967,-198.3578842504295
478,969,-195.32209582538655
479,971,-191.1898862428479
480,972,-187.17089761856312
481,974,-184.0538078567068
482,976,-182.04842707103614
483,977,-180.14358436393252
484,978,-177.72922592753926
485,979,-175.35630333478534
486,982,-173.9206730013068
487,983,-171.72860570117612
488,984,-170.1557451310585
489,987,-168.74017061795266
490,988,-167.7661535561574
491,996,-166.48953820054166
492,999,-165.2405843804875
493,1000,-164.31652594243874
494,1002,-163.28487334819488
495,1004,-163.0563860133754
496,1005,-162.55074741203788
497,1008,-161.9956726708341
498,1009,-161.49610540375068
499,1011,-161.0464948633756
500,1012,-160.94184537703805
501,1013,-161.44766083933425
502,1014,-160.9028947554008
503,1017,-160.9126052798607
504,1025,-160.62134475187463
505,1026,-161.45921027668717
506,1027,-162.31328924901845
507,1029,-161.88196032411662
508,1031,-161.49376429170496
509,1032,-162.44438786253446
510,1033,-162.099949076281
511,1035,-161.7899541686529
512,1037,-161.61095875178762
513,1038,-160.94986287660888
514,1039,-169.354876588948
515,1042,-168.71938893005319
516,1043,-167.54745003704787
517,1044,-167.09270503334307
518,1049,-166.58343453000876
519,1051,-165.62509107700788
520,1052,-164.9625819693071
521,1054,-164.3663237723764
522,1055,-164.2296913951388
523,1057,-164.1067222556249
524,1063,-164.3960500300624
525,1064,-163.95644502705616
526,1066,-163.36080052435057
527,1068,-162.3247204719155
528,1072,-161.99224842472395
529,1074,-161.39302358225154
530,1076,-161.4537212240264
531,1078,-161.20834910162375
532,1080,-160.78751419146138
533,1082,-160.70876277231525
534,1083,-160.33788649508372
535,1084,-159.70409784557535
536,1085,-160.23368806101783
537,1086,-159.81031925491604
538,1090,-159.32928732942443
539,1092,-159.196358596482
540,1093,-159.27672273683382
541,1099,-159.24905046315044
542,1101,-158.6241454168354
543,1103,-158.76173087515187
544,1104,-159.1855577876367
545,1105,-159.467002008873
546,1111,-159.2203018079857
547,1114,-159.4982716271871
548,1116,-159.14844446446838
549,1119,-159.53360001802156
550,1122,-159.58024001621942
551,1123,-159.62221601459748
552,1125,-159.65999441313775
553,1126,-160.29399497182396
554,1127,-160.36459547464156
555,1128,-160.9281359271774
556,1130,-161.33532233445968
557,1131,-161.9017901010137
558,1133,-162.0116110909123
559,1134,-161.71044998182109
560,1135,-161.93940498363898
561,1138,-162.74546448527508
562,1139,-162.57091803674757
563,1141,-162.71382623307284
564,1149,-162.94244360976555
565,1150,-162.84819924878897
566,1151,-163.26337932391007
567,1152,-163.13704139151906
568,1155,-162.82333725236717
569,1156,-163.34100352713045
570,1157,-163.1069031744174
571,1160,-163.49621285697566
572,1161,-162.94659157127808
573,1162,-163.4519324141503
574,1165,-164.10673917273527
575,1177,-164.49606525546176
576,1180,-164.0464587299156
577,1182,-163.74181285692404
578,1183,-163.66763157123165
579,1185,-163.7008684141085
580,1186,-163.13078157269763
581,1189,-163.51770341542786
582,1192,-163.46593307388508
583,1193,-163.4193397664966
584,1194,-163.07740578984695
585,1195,-163.46966521086225
586,1196,-163.32269868977602
587,1197,-162.89042882079843
588,1198,-163.4013859387186
589,1199,-162.76124734484674
590,1201,-162.48512261036205
591,1203,-162.93661034932583
592,1204,-162.24294931439326
593,1206,-162.11865438295393
594,1208,-162.40678894465856
595,1210,-162.2661100501927
596,1211,-162.33949904517345
597,1212,-162.8055491406561
598,1213,-163.02499422659048
599,1214,-162.92249480393141
600,1215,-163.33024532353826
601,1219,-163.69722079118444
602,1224,-163.827498712066
603,1225,-163.5447488408594
604,1227,-163.79027395677346
605,1228,-163.6112465610961
606,1232,-163.75012190498649
607,1233,-163.47510971448784
608,1234,-163.42759874303908
609,1236,-163.28483886873516
610,1239,-163.65635498186165
611,1242,-163.7907194836755
612,1244,-163.31164753530797
613,1246,-163.58048278177716
614,1247,-163.12243450359946
615,1249,-162.81019105323952
616,1250,-162.3291719479156
617,1253,-162.69625475312404
618,1254,-163.52662927781162
619,1255,-163.87396635003046
620,1257,-164.38656971502743
621,1258,-163.3479127435247
622,1259,-162.91312146917224
623,1261,-162.821809322255
624,1262,-162.33962839002953
625,1263,-163.0056655510266
626,1264,-163.20509899592395
627,1265,-162.98458909633155
628,1266,-162.88613018669838
629,1271,-162.89751716802857
630,1272,-163.4077654512257
631,1274,-163.26698890610314
632,1278,-163.7402900154928
633,1279,-163.16626101394354
634,1281,-162.8496349125492
635,1285,-163.46467142129427
636,1287,-163.31820427916483
637,1289,-162.98638385124835
638,1291,-162.7877454661235
639,1292,-162.50897091951117
640,1293,-162.15807382756006
641,1294,-162.14226644480405
642,1296,-162.42803980032366
643,1299,-162.6852358202913
644,1300,-162.51671223826216
645,1302,-162.66504101443596
646,1303,-162.39853691299237
647,1304,-162.95868322169315
648,1306,-163.26281489952385
649,1310,-163.03653340957146
650,1312,-163.63288006861433
651,1313,-163.86959206175288
652,1315,-163.9826328555776
653,1316,-163.78436957001983
654,1319,-164.10593261301784
655,1320,-164.09533935171606
656,1325,-164.48580541654445
657,1326,-165.13722487489
658,1327,-164.623502387401
659,1328,-165.0611521486609
660,1330,-164.7550369337948
661,1332,-164.97953324041532
662,1333,-165.18157991637378
663,1334,-164.9634219247364
664,1335,-164.36707973226277
665,1336,-164.23037175903647
666,1337,-164.40733458313284
667,1340,-164.16660112481955
668,1343,-164.44994101233758
669,1345,-164.40494691110382
670,1347,-163.86445221999344
671,1348,-164.1780069979941
672,1349,-164.76020629819467
673,1350,-164.8841856683752
674,1351,-165.2957671015377
675,1355,-165.06619039138394
676,1359,-164.75957135224553
677,1361,-164.683614217021
678,1362,-164.31525279531888
679,1365,-164.383727515787
680,1366,-164.9453547642083
681,1367,-164.65081928778747
682,1370,-164.88573735900871
683,1373,-165.19716362310783
684,1374,-164.87744726079703
685,1375,-165.1897025347173
686,1377,-165.37073228124555
687,1378,-164.933659053121
688,1379,-166.24029314780893
689,1382,-166.01626383302803
690,1384,-166.61463744972522
691,1385,-166.45317370475271
692,1386,-166.20785633427747
693,1387,-166.98707070084973
694,1388,-166.88836363076476
695,1389,-166.99952726768828
696,1391,-167.79957454091945
697,1392,-167.91961708682751
698,1395,-167.72765537814476
699,1400,-168.05488984033028
700,1412,-167.54940085629727
701,1413,-166.79446077066754
702,1414,-166.91501469360077
703,1415,-166.7235132242407
704,1419,-165.95116190181662
705,1422,-165.75604571163495
706,1423,-165.38044114047145
707,1425,-164.9423970264243
708,1426,-164.74815732378187
709,1427,-164.6733415914037
710,1428,-164.30600743226333
711,1430,-164.57540668903698
712,1432,-164.31786602013327
713,1433,-164.38607941811995
714,1434,-164.04747147630795
715,1436,-164.14272432867716
716,1437,-164.52845189580944
717,1438,-163.97560670622852
718,1440,-163.17804603560566
719,1442,-163.1602414320451
720,1448,-163.44421728884058
721,1450,-163.89979555995654
722,1455,-163.9098160039609
723,1456,-163.31883440356484
724,1460,-163.48695096320836
725,1465,-163.33825586688752
726,1466,-163.40443028019877
727,1470,-162.76398725217888
728,1474,-162.68758852696098
729,1477,-162.51882967426488
730,1480,-163.1669467068384
731,1481,-163.65025203615454
732,1482,-163.88522683253908
733,1485,-164.19670414928515
734,1486,-163.97703373435664
735,1489,-163.67933036092097
736,1491,-163.81139732482887
737,1492,-164.63025759234597
738,1493,-164.96723183311138
739,1500,-165.97050864980025
740,1501,-167.07345778482022
741,1502,-166.9661120063382
742,1503,-167.56950080570437
743,1505,-168.21255072513395
744,1506,-167.79129565262056
745,1507,-168.0121660873585
746,1508,-168.51094947862265
747,1509,-169.75985453076038
748,1510,-169.68386907768436
749,1511,-170.41548216991592
750,1512,-171.4739339529243
751,1513,-171.2265405576319
752,1516,-171.3038865018687
753,1518,-170.27349785168184
754,1523,-169.54614806651364
755,1524,-169.69153325986227
756,1525,-168.92237993387604
757,1527,-168.33014194048843
758,1534,-167.59712774643958
759,1536,-166.83741497179562
760,1541,-167.05367347461606
761,1542,-167.24830612715448
762,1546,-167.32347551443905
763,1548,-167.09112796299516
764,1549,-166.38201516669565
765,1551,-165.94381365002607
766,1552,-165.94943228502348
767,1554,-165.65448905652113
768,1555,-165.789040150869
769,1561,-166.2101361357821
770,1562,-166.4891225222039
771,1563,-166.0402102699835
772,1568,-166.43618924298517
773,1569,-166.09257031868663
774,1578,-165.88331328681798
775,1579,-167.49498195813618
