,Step,Value
0,5,-1000.0
1,6,-1000.0
2,10,-1000.0
3,11,-1000.0
4,13,-1000.0
5,14,-1000.0
6,15,-1000.0
7,17,-1000.0
8,18,-1000.0
9,19,-1000.0
10,20,-1000.0
11,24,-1000.0
12,33,-1000.0
13,34,-1000.0
14,36,-1000.0
15,39,-1000.0
16,40,-1000.0
17,42,-1000.0
18,44,-1000.0
19,45,-1000.0
20,47,-1000.0
21,49,-1000.0
22,50,-1000.0
23,53,-1000.0
24,54,-1000.0
25,55,-1000.0
26,56,-1000.0
27,57,-1000.0
28,60,-1000.0
29,61,-1000.0
30,63,-1000.0
31,65,-1000.0
32,66,-1000.0
33,67,-1000.0
34,68,-1000.0
35,71,-1000.0
36,72,-1000.0
37,73,-1000.0
38,74,-1000.0
39,76,-1000.0
40,79,-1000.0
41,84,-1000.0
42,85,-1000.0
43,86,-1000.0
44,87,-1000.0
45,88,-1000.0
46,89,-1000.0
47,94,-1000.0
48,102,-1000.0
49,105,-1000.0
50,106,-1000.0
51,113,-1000.0
52,116,-1000.0
53,118,-1000.0
54,119,-1000.0
55,120,-1000.0
56,124,-1000.0
57,125,-1000.0
58,126,-1000.0
59,129,-1000.0
60,130,-1000.0
61,133,-1000.0
62,137,-1000.0
63,139,-1000.0
64,141,-1000.0
65,142,-1000.0
66,143,-1000.0
67,144,-1000.0
68,148,-1000.0
69,150,-1000.0
70,153,-1000.0
71,154,-1000.0
72,155,-1000.0
73,157,-1000.0
74,158,-1000.0
75,159,-1000.0
76,162,-1000.0
77,164,-1000.0
78,165,-1000.0
79,167,-975.9
80,168,-978.31
81,171,-956.2789999999999
82,176,-960.6510999999999
83,177,-891.9859899999999
84,178,-902.787391
85,180,-912.5086519
86,181,-846.65778671
87,183,-861.992008039
88,185,-824.3928072351
89,186,-841.95352651159
90,187,-784.4581738604311
91,188,-779.4123564743879
92,190,-723.4711208269491
93,191,-670.5240087442542
94,198,-692.1716078698287
95,202,-639.6544470828459
96,206,-675.6890023745613
97,207,-623.9201021371051
98,208,-661.5280919233946
99,212,-674.5752827310553
100,215,-707.1177544579498
101,218,-652.2059790121548
102,219,-602.6853811109394
103,222,-612.2168429998454
104,223,-620.0951586998609
105,225,-582.0856428298748
106,226,-539.1770785468873
107,227,-501.05937069219857
108,229,-466.8534336229787
109,230,-435.3680902606808
110,232,-407.63128123461274
111,233,-382.4681531111515
112,234,-359.1213378000363
113,237,-338.1092040200327
114,240,-404.29828361802936
115,245,-378.1684552562264
116,247,-356.2516097306038
117,249,-335.3264487575434
118,250,-317.8938038817891
119,255,-300.80442349361016
120,258,-285.22398114424914
121,259,-271.20158302982423
122,260,-258.2814247268418
123,261,-284.85328225415765
124,263,-270.8679540287419
125,267,-257.98115862586775
126,269,-247.483042763281
127,271,-279.63473848695287
128,273,-272.6712646382576
129,278,-259.00413817443183
130,280,-252.60372435698866
131,284,-241.14335192128982
132,289,-262.9290167291608
133,291,-250.43611505624472
134,292,-245.89250355062026
135,295,-235.00325319555822
136,297,-252.80292787600237
137,298,-242.12263508840212
138,299,-244.5103715795619
139,301,-233.6593344216057
140,302,-229.69340097944516
141,303,-220.72406088150063
142,307,-213.75165479335058
143,308,-213.1764893140155
144,310,-205.25884038261395
145,313,-198.33295634435257
146,317,-192.2996607099173
147,318,-186.46969463892557
148,319,-181.522725175033
149,320,-177.17045265752972
150,322,-172.95340739177675
151,325,-168.85806665259906
152,326,-165.17225998733915
153,327,-163.75503398860522
154,330,-160.8795305897447
155,331,-158.3915775307702
156,333,-242.25241977769315
157,339,-243.42717779992384
158,341,-232.68446001993146
159,344,-228.71601401793833
160,345,-220.1444126161445
161,347,-217.82997135453004
162,348,-262.44697421907705
163,353,-256.0022767971694
164,354,-254.90204911745244
165,356,-249.21184420570717
166,358,-244.49065978513644
167,359,-238.44159380662282
168,360,-241.09743442596053
169,363,-244.08769098336447
170,364,-246.07892188502802
171,367,-247.87102969652523
172,368,-242.9839267268727
173,370,-245.18553405418544
174,371,-241.46698064876688
175,373,-317.32028258389016
176,377,-385.5882543255011
177,378,-447.02942889295093
178,379,-416.4264860036559
179,381,-394.6838374032903
180,382,-368.6154536629612
181,385,-369.5539082966651
182,386,-369.6985174669986
183,387,-346.72866572029875
184,388,-333.5557991482689
185,390,-326.300219233442
186,391,-393.6701973100978
187,392,-404.1031775790881
188,393,-395.8928598211793
189,402,-382.30357383906136
190,403,-364.7732164551552
191,405,-341.99589480963965
192,408,-336.2963053286757
193,415,-316.96667479580816
194,416,-299.27000731622735
195,420,-283.94300658460463
196,421,-269.44870592614416
197,422,-256.70383533352975
198,424,-251.73345180017677
199,426,-247.9601066201591
200,430,-245.1640959581432
201,439,-234.9476863623289
202,440,-225.552917726096
203,441,-217.0976259534864
204,442,-209.18786335813775
205,444,-201.96907702232397
206,445,-196.2721693200916
207,448,-191.84495238808242
208,451,-198.96045714927416
209,458,-192.76441143434673
210,459,-187.48797029091205
211,460,-182.73917326182084
212,461,-178.36525593563877
213,463,-174.7287303420749
214,464,-171.65585730786742
215,465,-168.49027157708068
216,467,-165.7412444193726
217,468,-163.26711997743536
218,469,-161.44040797969183
219,471,-159.49636718172263
220,473,-157.94673046355038
221,474,-156.15205741719535
222,478,-154.33685167547583
223,485,-153.10316650792825
224,488,-151.4928498571354
225,489,-150.84356487142188
226,491,-149.7592083842797
227,493,-149.08328754585176
228,496,-148.1749587912666
229,507,-148.05746291213993
230,510,-147.25171662092595
231,511,-146.72654495883336
232,512,-145.85389046295
233,514,-145.068501416655
234,516,-144.86165127498953
235,517,-144.57548614749058
236,519,-144.61793753274154
237,524,-144.85614377946737
238,525,-230.3705294015206
239,531,-222.53347646136854
240,533,-216.18012881523168
241,534,-209.76211593370851
242,535,-204.08590434033766
243,536,-198.5773139063039
244,537,-193.71958251567352
245,538,-189.14762426410618
246,539,-184.63286183769557
247,540,-187.66957565392602
248,541,-184.0026180885334
249,542,-180.40235627968008
250,544,-177.06212065171206
251,547,-174.35590858654086
252,548,-256.92031772788675
253,549,-245.52828595509806
254,551,-235.07545735958826
255,555,-226.16791162362944
256,557,-217.85112046126648
257,559,-210.96600841513984
258,563,-203.96940757362586
259,564,-204.57246681626327
260,565,-199.01522013463696
261,567,-193.61369812117326
262,569,-188.65232830905595
263,571,-184.28709547815035
264,573,-180.15838593033533
265,574,-176.4425473373018
266,577,-173.2982926035716
267,579,-170.26846334321448
268,580,-167.74161700889303
269,581,-165.46745530800374
270,582,-163.22070977720335
271,583,-161.89863879948302
272,584,-160.50877491953474
273,586,-159.55789742758128
274,587,-158.20210768482315
275,592,-156.98189691634084
276,593,-155.88370722470677
277,595,-155.09533650223608
278,596,-154.58580285201248
279,597,-154.02722256681125
280,600,-154.02450031013012
281,602,-153.1220502791171
282,604,-153.3098452512054
283,606,-153.07886072608486
284,608,-152.47097465347636
285,610,-152.32387718812873
286,611,-152.29148946931585
287,612,-152.26234052238425
288,615,-152.13610647014582
289,619,-151.92249582313124
290,620,-151.43024624081812
291,622,-151.08722161673631
292,623,-151.27849945506267
293,625,-151.3506495095564
294,629,-151.61558455860077
295,634,-151.9540261027407
296,641,-151.65862349246663
297,642,-151.39276114321999
298,644,-151.25348502889798
299,645,-150.82813652600817
300,646,-150.34532287340735
301,647,-150.11079058606663
302,648,-150.39971152745994
303,649,-150.55974037471395
304,651,-150.30376633724256
305,652,-150.3733897035183
306,656,-149.63605073316648
307,657,-149.57244565984985
308,659,-149.91520109386488
309,661,-150.5236809844784
310,664,-150.77131288603056
311,666,-150.49418159742748
312,667,-150.34476343768475
313,668,-150.51028709391628
314,671,-151.45925838452465
315,672,-151.41333254607218
316,673,-150.87199929146496
317,674,-151.28479936231847
318,675,-151.3563194260866
319,677,-150.92068748347793
320,678,-150.22861873513014
321,679,-150.0057568616171
322,681,-149.3051811754554
323,682,-149.17466305790987
324,683,-149.6571967521189
325,684,-148.891477076907
326,685,-148.90232936921632
327,686,-149.5120964322947
328,688,-150.16088678906522
329,689,-150.44479811015867
330,692,-150.5003182991428
331,696,-150.45028646922853
332,699,-151.3052578223057
333,700,-151.77473204007512
334,701,-151.69725883606762
335,703,-151.92753295246087
336,704,-151.83477965721477
337,705,-152.0513016914933
338,706,-151.94617152234397
339,708,-151.75155437010957
340,709,-152.47639893309864
341,710,-153.32875903978876
342,714,-153.8958831358099
343,718,-154.2062948222289
344,719,-155.285665340006
345,721,-155.5570988060054
346,722,-155.80138892540486
347,723,-155.42125003286438
348,724,-155.17912502957796
349,725,-155.16121252662018
350,726,-155.04509127395818
351,729,-154.34058214656238
352,730,-154.40652393190615
353,736,-154.66587153871552
354,738,-156.09928438484397
355,739,-155.58935594635958
356,740,-155.53042035172362
357,741,-155.77737831655128
358,743,-155.29964048489614
359,746,-155.86967643640654
360,747,-155.28270879276587
361,750,-154.95443791348927
362,751,-154.25899412214034
363,752,-154.0330947099263
364,754,-154.52978523893367
365,756,-154.1768067150403
366,759,-153.65912604353628
367,760,-154.09321343918265
368,762,-153.88389209526437
369,765,-153.69550288573794
370,766,-153.72595259716417
371,767,-153.25335733744777
372,769,-152.928021603703
373,770,-153.03521944333272
374,771,-152.73169749899947
375,773,-153.35852774909952
376,774,-152.9226749741896
377,775,-153.73040747677064
378,780,-154.15736672909355
379,784,-153.94163005618418
380,785,-154.54746705056576
381,787,-154.79272034550917
382,789,-154.81344831095825
383,791,-154.83210347986244
384,792,-155.2488931318762
385,793,-156.02400381868858
386,794,-155.72160343681975
387,795,-156.1494430931378
388,796,-155.434498783824
389,798,-155.8910489054416
390,800,-156.30194401489746
391,802,-155.8717496134077
392,805,-155.78457465206694
393,807,-155.50611718686025
394,808,-156.05550546817423
395,809,-156.6499549213568
396,813,-156.5849594292211
397,815,-157.12646348629897
398,816,-157.51381713766907
399,818,-158.96243542390215
400,821,-158.96619188151195
401,823,-159.06957269336075
402,824,-159.36261542402468
403,825,-159.0263538816222
404,828,-158.22371849345998
405,831,-158.001346644114
406,832,-158.1012119797026
407,834,-157.49109078173234
408,836,-158.2419817035591
409,838,-158.2177835332032
410,843,-157.89600517988288
411,845,-157.4064046618946
412,846,-157.36576419570514
413,847,-157.42918777613465
414,848,-157.0862689985212
415,851,-156.8776420986691
416,857,-156.38987788880218
417,859,-155.95089009992196
418,860,-156.55580108992976
419,861,-156.70022098093676
420,862,-156.73019888284307
421,863,-156.85717899455875
422,867,-156.97146109510288
423,869,-156.9743149855926
424,870,-156.57688348703334
425,873,-156.51919513833002
426,874,-156.367275624497
427,875,-156.9305480620473
428,876,-156.93749325584258
429,877,-157.4437439302583
430,879,-157.69936953723249
431,880,-157.12943258350924
432,881,-157.81648932515833
433,882,-157.9348403926425
434,884,-158.74135635337825
435,887,-158.96722071804044
436,889,-159.17049864623638
437,890,-159.35344878161274
438,892,-159.7181039034515
439,893,-159.74629351310634
440,896,-158.8716641617957
441,897,-158.88449774561616
442,899,-159.19604797105453
443,900,-159.47644317394906
444,907,-159.52879885655418
445,908,-159.57591897089875
446,909,-159.61832707380887
447,910,-160.25649436642797
448,911,-160.43084492978517
449,912,-160.28776043680665
450,913,-160.05898439312597
451,915,-160.25308595381335
452,916,-159.62777735843204
453,917,-159.46499962258883
454,920,-159.41849966032996
455,921,-159.67664969429694
456,922,-159.70898472486726
457,923,-160.53808625238054
458,925,-160.58427762714248
459,931,-161.22584986442823
460,932,-161.2032648779854
461,933,-161.58293839018685
462,935,-161.62464455116816
463,939,-161.26218009605134
464,942,-161.1359620864462
465,945,-162.02236587780158
466,949,-162.4201292900214
467,952,-162.47811636101926
468,953,-163.13030472491735
469,954,-162.71727425242563
470,956,-161.94554682718308
471,957,-161.55099214446477
472,958,-161.19589293001832
473,961,-160.87630363701646
474,962,-160.88867327331482
475,964,-161.39980594598333
476,966,-161.55982535138497
477,967,-161.8038428162465
478,969,-162.22345853462184
479,971,-163.60111268115966
480,972,-163.8410014130437
481,974,-163.95690127173933
482,976,-163.3612111445654
483,977,-163.62509003010885
484,978,-163.76258102709798
485,979,-164.08632292438818
486,982,-163.57769063194937
487,983,-164.21992156875444
488,984,-164.397929411879
489,987,-163.8581364706911
490,988,-163.372322823622
491,996,-163.63509054125979
492,999,-162.9715814871338
493,1000,-163.1744233384204
494,1002,-163.95698100457838
495,1004,-163.66128290412055
496,1005,-163.39515461370848
497,1008,-163.35563915233763
498,1009,-164.02007523710387
499,1011,-164.4180677133935
500,1012,-165.07626094205415
501,1013,-165.96863484784873
502,1014,-166.27177136306386
503,1017,-166.4445942267575
504,1025,-165.40013480408174
505,1026,-164.56012132367357
506,1027,-164.2041091913062
507,1029,-164.08369827217558
508,1031,-163.77532844495803
509,1032,-163.29779560046225
510,1033,-163.36801604041602
511,1035,-163.8312144363744
512,1037,-164.04809299273697
513,1038,-164.74328369346327
514,1039,-164.06895532411693
515,1042,-163.26205979170524
516,1043,-162.93585381253473
517,1044,-162.54226843128126
518,1049,-163.38804158815313
519,1051,-163.9492374293378
520,1052,-164.35431368640405
521,1054,-172.51888231776366
522,1055,-180.4669940859873
523,1057,-178.82029467738857
524,1063,-177.73826520964974
525,1064,-176.76443868868478
526,1066,-175.7879948198163
527,1068,-174.70919533783467
528,1072,-173.1382758040512
529,1074,-172.2244482236461
530,1076,-171.5020034012815
531,1078,-171.05180306115335
532,1080,-169.84662275503803
533,1082,-169.0619604795342
534,1083,-168.4557644315808
535,1084,-168.71018798842272
536,1085,-168.43916918958044
537,1086,-168.7952522706224
538,1090,-169.21572704356015
539,1092,-170.79415433920414
540,1093,-171.0147389052837
541,1099,-170.91326501475535
542,1101,-170.02193851327982
543,1103,-170.41974466195185
544,1104,-170.2777701957567
545,1105,-169.449993176181
546,1111,-169.10499385856292
547,1114,-168.8944944727066
548,1116,-168.80504502543596
549,1119,-169.12454052289235
550,1122,-168.8120864706031
551,1123,-168.9308778235428
552,1125,-169.03779004118852
553,1126,-169.33401103706964
554,1127,-169.9006099333627
555,1128,-170.6105489400264
556,1130,-170.64949404602376
557,1131,-170.38454464142137
558,1133,-169.84609017727925
559,1134,-169.0614811595513
560,1135,-168.75533304359618
561,1138,-168.17979973923656
562,1139,-168.3618197653129
563,1141,-168.1256377887816
564,1149,-168.01307400990345
565,1150,-168.8117666089131
566,1151,-168.73058994802182
567,1152,-168.05753095321964
568,1155,-167.85177785789767
569,1156,-167.7666000721079
570,1157,-168.68994006489712
571,1160,-173.12094605840738
572,1161,-173.30885145256664
573,1162,-173.17796630730996
574,1165,-172.96016967657897
575,1177,-172.76415270892107
576,1180,-173.78773743802896
577,1182,-174.00896369422605
578,1183,-173.70806732480344
579,1185,-174.8372605923231
580,1186,-181.55353453309078
581,1189,-200.1981810797817
582,1192,-196.57836297180356
583,1193,-193.9205266746232
584,1194,-192.0284740071609
585,1195,-188.62562660644483
586,1196,-186.86306394580035
587,1197,-185.1767575512203
588,1198,-183.9590817960983
589,1199,-182.3631736164885
590,1201,-181.22685625483965
591,1203,-179.9041706293557
592,1204,-178.41375356642013
593,1206,-178.57237820977812
594,1208,-177.7151403888003
595,1210,-176.7436263499203
596,1211,-175.96926371492827
597,1212,-174.97233734343544
598,1213,-174.4751036090919
599,1214,-173.32759324818272
600,1215,-172.89483392336447
601,1219,-171.90535053102803
602,1224,-171.61481547792525
603,1225,-171.6533339301327
604,1227,-171.88800053711944
605,1228,-171.6992004834075
606,1232,-171.82928043506678
607,1233,-171.5463523915601
608,1234,-171.4917171524041
609,1236,-171.9425454371637
610,1239,-171.8482908934473
611,1242,-171.66346180410258
612,1244,-171.89711562369234
613,1246,-171.6074040613231
614,1247,-172.0466636551908
615,1249,-172.0419972896717
616,1250,-179.13779756070454
617,1253,-185.42401780463408
618,1254,-211.78161602417066
619,1255,-208.2034544217536
620,1257,-204.58310897957824
621,1258,-201.3247980816204
622,1259,-198.29231827345836
623,1261,-195.76308644611254
624,1262,-192.78677780150127
625,1263,-190.50810002135114
626,1264,-188.05729001921603
627,1265,-185.65156101729443
628,1266,-183.686404915565
629,1271,-182.3177644240085
630,1272,-180.58598798160764
631,1274,-180.02738918344687
632,1278,-178.9246502651022
633,1279,-177.73218523859197
634,1281,-175.65896671473277
635,1285,-174.7930700432595
636,1287,-174.41376303893355
637,1289,-173.9723867350402
638,1291,-205.77514806153619
639,1292,-202.5976332553826
640,1293,-199.83786992984435
641,1294,-197.0540829368599
642,1296,-194.44867464317392
643,1299,-192.70380717885652
644,1300,-190.53342646097087
645,1302,-188.48008381487378
646,1303,-186.9320754333864
647,1304,-184.53886789004775
648,1306,-182.984981101043
649,1310,-181.88648299093867
650,1312,-180.3978346918448
651,1313,-181.45805122266032
652,1315,-180.81224610039428
653,1316,-180.73102149035486
654,1319,-180.15791934131937
655,1320,-179.24212740718744
656,1325,-178.11791466646872
657,1326,-177.20612319982186
658,1327,-175.78551087983965
659,1328,-174.8069597918557
660,1330,-173.72626381267014
661,1332,-173.25363743140315
662,1333,-173.12827368826282
663,1334,-172.31544631943655
664,1335,-171.5839016874929
665,1336,-171.3255115187436
666,1337,-170.79296036686924
667,1340,-171.11366433018233
668,1343,-170.90229789716412
669,1345,-170.4120681074477
670,1347,-170.17086129670292
671,1348,-169.55377516703265
672,1349,-169.5983976503294
673,1350,-170.83855788529644
674,1351,-171.0547020967668
675,1355,-172.84923188709013
676,1359,-173.36430869838114
677,1361,-173.42787782854305
678,1362,-173.08509004568876
679,1365,-173.1765810411199
680,1366,-173.35892293700792
681,1367,-173.42303064330713
682,1370,-174.3807275789764
683,1373,-174.54265482107877
684,1374,-174.7883893389709
685,1375,-193.2095504050738
686,1377,-207.7885953645664
687,1378,-204.20973582810976
688,1379,-224.38876224529878
689,1382,-219.5498860207689
690,1384,-214.694897418692
691,1385,-211.3254076768228
692,1386,-207.4928669091405
693,1387,-203.24358021822647
694,1388,-200.01922219640383
695,1389,-197.91729997676345
696,1391,-194.7255699790871
697,1392,-193.05301298117843
698,1395,-190.8477116830606
699,1400,-189.16294051475455
700,1412,-187.3466464632791
701,1413,-185.6119818169512
702,1414,-184.95078363525607
703,1415,-183.25570527173045
704,1419,-182.83013474455743
705,1422,-182.3471212701017
706,1423,-182.31240914309151
707,1425,-189.48116822878237
708,1426,-187.63305140590413
709,1427,-186.0697462653137
710,1428,-189.06277163878235
711,1430,-187.55649447490413
712,1432,-186.70084502741372
713,1433,-186.03076052467236
714,1434,-185.52768447220512
715,1436,-224.6749160249846
716,1437,-219.60742442248616
717,1438,-214.14668198023756
718,1440,-216.2320137822138
719,1442,-214.10881240399243
720,1448,-210.19793116359318
721,1450,-206.17813804723386
722,1455,-202.9603242425105
723,1456,-199.06429181825945
724,1460,-196.55786263643353
725,1465,-194.4020763727902
726,1466,-191.56186873551118
727,1470,-189.40568186196006
728,1474,-189.06511367576405
729,1477,-187.05860230818766
730,1480,-186.0527420773689
731,1481,-184.547467869632
732,1482,-182.9927210826688
733,1485,-182.3934489744019
734,1486,-181.15410407696172
735,1489,-180.83869366926552
736,1491,-180.054824302339
737,1492,-179.44934187210512
738,1493,-179.2044076848946
739,1500,-194.78396691640515
740,1501,-192.10557022476462
741,1502,-190.79501320228817
742,1503,-189.31551188205935
743,1505,-187.5839606938534
744,1506,-185.6255646244681
745,1507,-183.7630081620213
746,1508,-182.08670734581915
747,1509,-180.07803661123722
748,1510,-178.87023295011352
749,1511,-177.78320965510216
750,1512,-176.60488868959195
751,1513,-175.24439982063274
752,1516,-174.61995983856949
753,1518,-174.05796385471254
754,1523,-173.05216746924128
755,1524,-172.44695072231715
756,1525,-172.00225565008543
757,1527,-172.10203008507688
758,1534,-172.3918270765692
759,1536,-171.85264436891228
760,1541,-171.66737993202105
761,1542,-170.80064193881896
762,1546,-170.52057774493704
763,1548,-170.76851997044332
764,1549,-171.291667973399
765,1551,-171.6625011760591
766,1552,-172.69625105845319
767,1554,-172.92662595260788
768,1555,-179.83396335734707
769,1561,-187.75056702161237
770,1562,-207.3755103194511
771,1563,-204.237959287506
772,1568,-200.9141633587554
