,Step,Value
0,42,0.0328560397028923
1,94,0.030250006308779113
2,167,0.02804938373621552
3,229,0.02751211208244784
4,234,0.027133090112870534
5,273,0.024661657681404582
6,308,0.022258035055385404
7,310,0.020118568580944945
8,318,0.01815288083458843
9,474,0.016483411277054858
10,536,0.0200007804495565
11,579,0.01831030047796415
12,586,0.016658367032536824
13,634,0.015946961717810293
14,647,0.014584556208854365
15,714,0.013251450552915428
16,722,0.06747543832156797
17,808,0.06814339402759438
18,836,0.06254419086227743
19,1014,0.06258224306568438
20,1066,0.05659964763319434
21,1104,0.05101228814914919
22,1180,0.04622185923281398
23,1261,0.0418926738641985
24,1316,0.03775081837546402
25,1319,0.03400357495419877
26,1333,0.04209443492298749
27,1337,0.04295240398590648
28,1385,0.03883396290793165
29,1392,0.035131887369155686
30,1436,0.032138722894608784
31,1552,0.029832167129683316
32,1691,0.026918723124944706
33,1734,0.03157568479062635
34,1737,0.031874022300376156
35,1877,0.02891958440534799
36,1917,0.02621302282470117
37,2036,0.024424707560160606
38,2096,0.022119477895723733
39,2199,0.019958005659295123
40,2262,0.018099704906356033
41,2307,0.01637871080335344
42,2389,0.014815651992322038
43,2436,0.013542073103214224
44,2485,0.01223524152033768
45,2486,0.011057427762928533
46,2498,0.01001390458729454
47,2532,0.013455927892803435
48,2685,0.012198952413916692
49,2740,0.013604385661172952
50,2967,0.012700196529556586
51,3038,0.012117316730436027
52,3161,0.011407744736700955
53,3230,0.01127567810675177
54,3246,0.010336724479647771
55,3305,0.009411013517311023
56,3618,0.010461606586156011
57,3620,0.01076960357279573
58,3670,0.009789814752861429
59,3741,0.009211469343326596
60,3814,0.008872925075684877
61,3821,0.00842231058467467
62,3928,0.012018515930077783
63,3956,0.011259804102481613
64,4036,0.010454224688367132
65,4098,0.009476191393894919
66,4196,0.008564633431302798
67,4232,0.008047328014091209
68,4317,0.007277711178556948
69,4400,0.014492875885095473
70,4492,0.013086737079737915
71,4509,0.011828331612502786
72,4668,0.010682973596907258
73,4676,0.009638589213246791
74,4788,0.008714053612301592
75,4971,0.007879230293301724
76,5106,0.0071391599915560915
77,5134,0.007387771274936502
78,5345,0.006803379548844512
79,5359,0.006479539442366491
80,5549,0.006114020989810932
81,5679,0.005518317147732229
82,5723,0.005283575763604447
83,5808,0.005833936342866481
84,5864,0.005287458961736794
85,5871,0.004792449570992374
86,5907,0.004344905681821357
87,5990,0.003973017394743991
88,6200,0.006401510396780931
89,6219,0.006149732768363378
90,6289,0.0055455918761049905
91,6376,0.005009105681174152
92,6574,0.004514985921458738
93,6603,0.004394511898772114
94,6699,0.003956692038436754
95,6711,0.0035633248589974223
96,6854,0.003210585561109699
97,6966,0.0028974658816595025
98,7114,0.0026091747715072202
99,7155,0.002358848405269578
100,7382,0.002124118833107148
101,7460,0.001914556600060103
102,7463,0.0017239581155274494
103,7478,0.0015518099336660346
104,7511,0.0013968092036386202
105,7788,0.0012577879015831766
106,7798,0.0011323054216836772
107,7833,0.0010539561404598395
108,7991,0.000949393817101152
109,8066,0.0008546554456117719
110,8180,0.0007708819246299753
111,8221,0.0008139144838384678
112,8363,0.0007397770582393849
113,8377,0.0006662649921477297
114,8498,0.0005998606328301891
115,8508,0.000540200441339654
116,8601,0.0006762217976978785
117,8878,0.0006091005459183785
118,8928,0.0008314267341572906
119,8935,0.0008460699974100716
120,8993,0.0007619028574102281
121,9260,0.0006899727212498646
122,9468,0.0006495191414398682
123,9554,0.0006145263611220714
124,9567,0.0005649548522940043
125,9680,0.0005699192122293938
126,9698,0.0005386431154558844
127,9843,0.000529335499412546
128,9907,0.0005551584106240913
129,10276,0.0006139264432612822
130,10283,0.0006429992142042839
131,10399,0.0006146338620979755
132,10479,0.000675708836189578
133,10522,0.00092614251602143
134,10607,0.001172847029746617
135,10757,0.0011303363245388452
136,10758,0.0011737730336928809
137,10780,0.0011863062887857328
138,10850,0.0012068844498219994
139,10902,0.0011680497829412995
140,10905,0.0011528781280036697
141,10943,0.0012011618517442828
142,10966,0.0011557765557430745
143,10974,0.001152466297512877
144,11020,0.0012723407130232093
145,11102,0.0012707536287194982
146,11121,0.0015455288228022883
147,11419,0.0016709250570426395
148,11472,0.0016852617209447856
149,11492,0.0016731981837639271
150,11523,0.0018638244203974944
151,11532,0.0018898115116134351
152,11566,0.0019224516288809518
153,11685,0.0019167578049858666
154,11759,0.00183403980408104
155,11969,0.0018324371497801658
156,11974,0.0017872631240759794
157,12138,0.0018235858763865614
158,12164,0.0018693799223925452
159,12290,0.0018926066503458408
160,12671,0.001978115295219407
161,12877,0.0019699165249746865
162,12939,0.0019728188741846477
163,13034,0.001953797063557223
164,13061,0.0019361829715546207
165,13082,0.0018637281115421185
166,13094,0.0019312728333608965
167,13109,0.001903343571593157
168,13402,0.0019601550544006714
169,13504,0.002085057801652224
170,13546,0.002109280452488302
171,13597,0.0020003233350292717
172,13620,0.0019380757759415346
173,13679,0.0018094716750445812
174,13810,0.001958869560765873
175,13884,0.001949695504865926
176,14080,0.002014985351707223
177,14221,0.002065923430200531
178,14294,0.002007158394408468
179,14320,0.002203538943009591
180,14338,0.0021566230166050917
181,14397,0.0020769865819038223
182,14447,0.00219264749883603
183,14632,0.002142142916387237
184,14638,0.002180349079965873
185,14668,0.0021690817068064057
186,14677,0.002046337896906025
187,14687,0.0025175039911174927
188,14779,0.0024101882424343336
189,14809,0.0024085622305547003
190,14873,0.00230905979628486
191,14892,0.002229227586322624
192,15090,0.0021285992164018115
193,15180,0.0021095226096602402
194,15266,0.002112616076319696
195,15324,0.0021788075242930166
196,15473,0.0022118959936791747
197,15475,0.002085370095331437
198,15507,0.0020934070049678935
199,15740,0.002237825226317844
200,15764,0.0023390161676981997
201,15993,0.0023531370215516298
202,16095,0.002340703409983307
203,16116,0.0024643657579930863
204,16249,0.0025227062176834476
205,16321,0.002958560416505113
206,16343,0.0031355358680981715
207,16406,0.0033876173682568945
208,16505,0.003298593691369155
209,16697,0.0031428911547409792
210,16809,0.0033084666011971714
211,16857,0.0033219134590693543
212,16899,0.0033310970757530487
213,17066,0.003337968862649174
214,17097,0.0032494325167802267
215,17239,0.003997891897130064
216,17292,0.004125099875034137
217,17317,0.004265028925241143
218,17339,0.004357108235211168
219,17444,0.004585344446317242
220,17543,0.004666485263510838
221,17557,0.0048911052836665145
222,17586,0.004889217883156713
223,17594,0.005171962645849862
224,17623,0.005151170393930026
225,17953,0.005694194496666913
226,18018,0.005827645265083482
227,18065,0.005646500094700724
228,18264,0.006476983036669072
229,18318,0.006824679320518945
230,18451,0.006910461987970561
231,18592,0.006964720463083645
232,18845,0.007352395158552931
233,18958,0.007631798618922057
234,19116,0.007661199413737132
235,19169,0.007877511912286698
236,19271,0.007911659971207748
237,19531,0.009415582742092343
238,19640,0.009874675598708388
239,19654,0.01101343759325229
240,19731,0.012236354232672591
241,19846,0.012127631513038632
242,19938,0.013226998097681419
243,19995,0.013342586212888427
244,20035,0.013383256989897844
245,20053,0.01373198450939198
246,20062,0.01355297293963735
247,20138,0.013834600612843374
248,20244,0.013827129143021408
249,20247,0.014633668009229207
250,20252,0.014565853906829086
251,20323,0.014994888275705807
252,20440,0.014812439884105046
253,20485,0.014630017426930712
254,20539,0.01535252541064278
255,20540,0.016369970304599902
256,20562,0.01695539708837702
257,20578,0.01711564464185983
258,20779,0.017366590674051788
259,20782,0.01804057757585866
260,20831,0.019080061470236973
261,20855,0.020095324148029028
262,21080,0.020148195143899265
263,21144,0.020804010167444587
264,21209,0.021015114934496436
265,21232,0.021535829880463195
266,21316,0.021766990918183717
267,21319,0.02019859042794799
268,21324,0.0202456653076228
269,21391,0.02053078546742944
270,21409,0.02101467468995167
271,21523,0.022996550071164783
272,21681,0.023179499299458995
273,21795,0.025043282351910168
274,21821,0.02535982886733331
275,21842,0.026716428263023947
276,21848,0.02744291850599836
277,22006,0.028494992139993812
278,22245,0.02801777753209355
279,22292,0.027405010160582798
280,22330,0.02734457239220518
281,22358,0.02794645981231312
282,22472,0.02806310398494285
283,22544,0.029083475483492743
284,22765,0.03083529771539783
285,22840,0.030853171210049525
286,22930,0.03261856613507175
287,23138,0.032247227270456875
288,23148,0.032991325264322205
289,23182,0.032612291340661737
290,23192,0.032278413763313904
291,23218,0.032445732302072115
292,23263,0.03544095773691159
293,23286,0.0355115558433016
294,23361,0.03657526939160941
295,23427,0.035833835250562295
296,23540,0.035658046287082905
297,23670,0.03653342173855001
298,23681,0.037315388214831005
299,23701,0.03543164516292016
300,23938,0.03991425426127314
301,24079,0.04909296832670389
302,24118,0.049076788892057105
303,24147,0.049410849007701776
304,24234,0.049183445447149185
305,24282,0.05552802587163058
306,24284,0.05555489752839452
307,24322,0.06281599337593119
308,24345,0.06382368148626745
309,24557,0.06353706359501356
310,24621,0.06356445094617313
