,Step,Value
0,5,-1000.0
1,6,-1000.0
2,10,-1000.0
3,11,-1000.0
4,13,-1000.0
5,14,-1000.0
6,15,-1000.0
7,17,-1000.0
8,18,-1000.0
9,19,-1000.0
10,20,-1000.0
11,24,-1000.0
12,33,-1000.0
13,34,-1000.0
14,36,-1000.0
15,39,-1000.0
16,40,-1000.0
17,42,-1000.0
18,44,-1000.0
19,45,-1000.0
20,47,-1000.0
21,49,-1000.0
22,50,-1000.0
23,53,-1000.0
24,54,-1000.0
25,55,-1000.0
26,56,-1000.0
27,57,-1000.0
28,60,-1000.0
29,61,-1000.0
30,63,-1000.0
31,65,-1000.0
32,66,-1000.0
33,67,-1000.0
34,68,-1000.0
35,71,-1000.0
36,72,-1000.0
37,73,-1000.0
38,74,-1000.0
39,76,-1000.0
40,79,-1000.0
41,84,-1000.0
42,85,-1000.0
43,86,-1000.0
44,87,-1000.0
45,88,-1000.0
46,89,-1000.0
47,94,-1000.0
48,102,-1000.0
49,105,-1000.0
50,106,-1000.0
51,113,-1000.0
52,116,-1000.0
53,118,-1000.0
54,119,-1000.0
55,120,-1000.0
56,124,-1000.0
57,125,-1000.0
58,126,-1000.0
59,129,-1000.0
60,130,-1000.0
61,133,-1000.0
62,137,-1000.0
63,139,-1000.0
64,141,-1000.0
65,142,-1000.0
66,143,-1000.0
67,144,-1000.0
68,148,-1000.0
69,150,-1000.0
70,153,-1000.0
71,154,-1000.0
72,155,-1000.0
73,157,-1000.0
74,158,-1000.0
75,159,-1000.0
76,162,-1000.0
77,164,-1000.0
78,165,-1000.0
79,167,-1000.0
80,168,-1000.0
81,171,-1000.0
82,176,-1000.0
83,177,-1000.0
84,178,-1000.0
85,180,-1000.0
86,181,-1000.0
87,183,-1000.0
88,185,-1000.0
89,186,-1000.0
90,187,-1000.0
91,188,-1000.0
92,190,-1000.0
93,191,-1000.0
94,198,-1000.0
95,202,-1000.0
96,206,-1000.0
97,207,-1000.0
98,208,-1000.0
99,212,-1000.0
100,215,-1000.0
101,218,-1000.0
102,219,-1000.0
103,222,-1000.0
104,223,-1000.0
105,225,-1000.0
106,226,-1000.0
107,227,-1000.0
108,229,-1000.0
109,230,-1000.0
110,232,-919.4
111,233,-847.46
112,234,-781.214
113,237,-719.8926
114,240,-661.30334
115,245,-620.1730060000001
116,247,-574.7557054000001
117,249,-572.58013486
118,250,-531.122121374
119,255,-493.7099092366
120,258,-461.33891831294005
121,259,-427.405026481646
122,260,-396.46452383348145
123,261,-456.8180714501333
124,263,-421.73626430512
125,267,-390.262637874608
126,269,-363.6363740871472
127,271,-339.67273667843244
128,273,-318.7054630105892
129,278,-300.9349167095303
130,280,-284.54142503857724
131,284,-269.68728253471954
132,289,-262.6185542812476
133,291,-255.45669885312284
134,292,-244.41102896781055
135,295,-233.2699260710295
136,297,-227.94293346392655
137,298,-225.1486401175339
138,299,-217.3337761057805
139,301,-217.50039849520246
140,302,-209.9503586456822
141,303,-203.65532278111397
142,307,-204.88979050300256
143,308,-254.6008114527023
144,310,-249.64073030743205
145,313,-245.17665727668884
146,317,-233.75899154901995
147,318,-223.98309239411796
148,319,-215.48478315470618
149,320,-207.83630483923557
150,322,-200.352674355312
151,325,-280.31740691978075
152,326,-265.4856662278027
153,327,-338.9370996050224
154,330,-321.8433896445202
155,331,-302.7590506800682
156,333,-286.2831456120614
157,339,-357.65483105085525
158,341,-340.8893479457697
159,344,-327.50041315119273
160,345,-329.75037183607344
161,347,-319.4753346524661
162,348,-341.62780118721946
163,353,-331.76502106849756
164,354,-398.58851896164776
165,356,-383.229667065483
166,358,-376.4067003589347
167,359,-379.76603032304126
168,360,-361.1894272907371
169,363,-425.0704845616634
170,364,-422.96343610549707
171,367,-419.7670924949474
172,368,-477.79038324545263
173,370,-530.0113449209074
174,371,-506.1102104288167
175,373,-501.399189385935
176,377,-495.3592704473415
177,378,-545.8233434026073
178,379,-591.2410090623465
179,381,-632.1169081561119
180,382,-668.9052173405007
181,385,-658.0146956064507
182,386,-692.2132260458056
183,387,-651.891903441225
184,388,-613.6027130971025
185,390,-585.6424417873923
186,391,-558.6781976086531
187,392,-602.8103778477878
188,393,-566.829340063009
189,402,-536.5464060567081
190,403,-525.6917654510372
191,405,-545.5225889059335
192,408,-516.1703300153401
193,415,-564.5532970138061
194,416,-608.0979673124255
195,420,-571.1881705811829
196,421,-614.0693535230647
197,422,-652.6624181707582
198,424,-687.3961763536824
199,426,-637.8565587183143
200,430,-594.9709028464829
201,439,-635.4738125618346
202,440,-671.9264313056511
203,441,-704.733788175086
204,442,-734.2604093575775
205,444,-760.8343684218197
206,445,-784.7509315796377
207,448,-721.7758384216739
208,451,-749.5982545795066
209,458,-774.638429121556
210,459,-797.1745862094004
211,460,-817.4571275884604
212,461,-835.7114148296143
213,463,-852.140273346653
214,464,-866.9262460119877
215,465,-880.2336214107889
216,467,-892.21025926971
217,468,-902.989233342739
218,469,-912.6903100084651
219,471,-857.2212790076186
220,473,-871.4991511068567
221,474,-806.849235996171
222,478,-826.164312396554
223,485,-843.5478811568986
224,488,-859.1930930412087
225,489,-873.2737837370879
226,491,-885.9464053633791
227,493,-897.3517648270412
228,496,-835.6165883443371
229,507,-852.0549295099033
230,510,-866.849436558913
231,511,-880.1644929030217
232,512,-892.1480436127196
233,514,-902.9332392514476
234,516,-912.6399153263029
235,517,-921.3759237936727
236,519,-929.2383314143054
237,524,-936.3144982728749
238,525,-942.6830484455874
239,531,-948.4147436010286
240,533,-953.5732692409257
241,534,-958.2159423168331
242,535,-877.4943480851498
243,536,-889.7449132766349
244,537,-823.1704219489714
245,538,-761.5533797540743
246,539,-707.8980417786669
247,540,-652.4082376008001
248,541,-687.1674138407201
249,542,-718.4506724566481
250,544,-671.8056052109833
251,547,-704.625044689885
252,548,-734.1625402208965
253,549,-760.7462861988068
254,551,-784.6716575789262
255,555,-806.2044918210336
256,557,-742.2840426389303
257,559,-683.3556383750372
258,563,-685.1200745375335
259,564,-716.6080670837802
260,565,-744.9472603754022
261,567,-718.8525343378619
262,569,-746.9672809040758
263,571,-772.2705528136682
264,573,-711.7434975323015
265,574,-654.5691477790714
266,577,-619.5122330011642
267,579,-657.5610097010477
268,580,-646.804908730943
269,581,-682.1244178578487
270,582,-630.2119760720637
271,583,-591.6907784648574
272,584,-571.9217006183717
273,586,-546.2295305565345
274,587,-591.606577500881
275,592,-610.045919750793
276,593,-649.0413277757137
277,595,-605.0371949981424
278,596,-559.6334754983282
279,597,-519.5701279484954
280,600,-481.1131151536459
281,602,-533.0018036382812
282,604,-491.2016232744531
283,606,-454.28146094700776
284,608,-425.853314852307
285,610,-463.7679833670763
286,611,-517.3911850303687
287,612,-495.55206652733176
288,615,-460.9968598745986
289,619,-430.4971738871388
290,620,-487.4474564984249
291,622,-538.7027108485825
292,623,-580.3324397637242
293,625,-537.7991957873518
294,629,-499.0192762086166
295,634,-549.1173485877549
296,641,-530.6056137289794
297,642,-577.5450523560814
298,644,-619.7905471204733
299,645,-650.411492408426
300,646,-650.0703431675834
301,647,-650.7633088508251
302,648,-685.6869779657426
303,649,-717.1182801691683
304,651,-745.4064521522515
305,652,-682.5658069370264
306,656,-631.8092262433238
307,657,-580.1283036189915
308,659,-538.9154732570923
309,661,-501.02392593138313
310,664,-550.9215333382448
311,666,-595.8293800044203
312,667,-636.2464420039782
313,668,-587.1217978035804
314,671,-628.4096180232224
315,672,-665.5686562209002
316,673,-660.2117905988102
317,674,-608.5906115389292
318,675,-647.7315503850364
319,677,-682.9583953465327
320,678,-626.2625558118795
321,679,-578.4363002306915
322,681,-534.8926702076222
323,682,-519.20340318686
324,683,-482.383062868174
325,684,-445.5447565813566
326,685,-412.8902809232209
327,686,-402.90125283089884
328,688,-378.01112754780894
329,689,-355.3100147930281
330,692,-334.47901331372526
331,696,-317.53111198235274
332,699,-302.3780007841175
333,700,-287.94020070570576
334,701,-275.2461806351352
335,703,-347.7215625716217
336,704,-331.6494063144595
337,705,-398.4844656830136
338,706,-458.6360191147122
339,708,-428.072417203241
340,709,-410.3651754829169
341,710,-469.3286579346252
342,714,-434.9957921411627
343,718,-491.4962129270465
344,719,-458.64659163434186
345,721,-427.9819324709077
346,722,-485.18373922381693
347,723,-451.16536530143526
348,724,-506.0488287712917
349,725,-469.94394589416254
350,726,-522.9495513047463
351,729,-494.7545961742717
352,730,-483.97913655684454
353,736,-535.5812229011601
354,738,-582.0231006110441
355,739,-579.4207905499397
356,740,-537.0787114949458
357,741,-514.9708403454512
358,743,-519.3737563109061
359,746,-483.23638067981545
360,747,-449.7127426118339
361,750,-419.7414683506505
362,751,-389.3673215155855
363,752,-362.530589364027
364,754,-341.6775304276243
365,756,-323.8097773848619
366,759,-306.6287996463757
367,760,-375.9659196817381
368,762,-438.3693277135643
369,765,-411.93239494220785
370,766,-389.23915544798706
371,767,-365.61523990318835
372,769,-344.65371591286953
373,770,-341.38834432158257
374,771,-324.7495098894243
375,773,-307.87455890048193
376,774,-377.0871030104337
377,775,-439.37839270939025
378,780,-408.74055343845123
379,784,-467.8664980946061
380,785,-436.5798482851455
381,787,-492.92186345663094
382,789,-461.2296771109678
383,791,-430.6067093998711
384,792,-487.5460384598839
385,793,-454.29143461389555
386,794,-508.8622911525059
387,795,-496.17606203725535
388,796,-546.5584558335298
389,798,-507.40261025017685
390,800,-520.2623492251591
391,802,-526.1361143026433
392,805,-573.5225028723789
393,807,-616.170252585141
394,808,-654.5532273266269
395,809,-689.0979045939642
396,813,-635.9881141345678
397,815,-594.789302721111
398,816,-570.3103724489999
399,818,-613.2793352041
400,821,-582.95140168369
401,823,-555.2562615153211
402,824,-545.8306353637889
403,825,-506.8475718274101
404,828,-472.56281464466906
405,831,-441.00653318020215
406,832,-412.705879862182
407,834,-471.4352918759638
408,836,-440.39176268836746
409,838,-496.35258641953067
410,843,-470.51732777757763
411,845,-523.4655949998198
412,846,-563.8190354998378
413,847,-573.8371319498541
414,848,-531.6534187548688
415,851,-578.4880768793819
416,857,-536.1392691914438
417,859,-582.5253422722993
418,860,-539.7728080450694
419,861,-501.3955272405625
420,862,-551.2559745165063
421,863,-508.2303770648557
422,867,-557.4073393583701
423,869,-529.9666054225331
424,870,-492.3699448802798
425,873,-543.1329503922518
426,874,-504.2196553530266
427,875,-553.797689817724
428,876,-522.9179208359516
429,877,-508.6261287523564
430,879,-557.7635158771208
431,880,-583.6871642894087
432,881,-625.3184478604678
433,882,-585.786603074421
434,884,-627.2079427669789
435,887,-664.487148490281
436,889,-613.738433641253
437,890,-567.5645902771278
438,892,-526.708131249415
439,893,-490.13731812447355
440,896,-465.4235863120262
441,897,-434.1812276808236
442,899,-414.46310491274124
443,900,-390.5167944214671
444,907,-366.76511497932046
445,908,-430.0886034813884
446,909,-402.97974313324954
447,910,-378.9817688199246
448,911,-357.3835919379321
449,912,-421.64523274413887
450,913,-479.48070946972496
451,915,-531.5326385227524
452,916,-494.2793746704772
453,917,-461.7514372034295
454,920,-430.67629348308657
455,921,-402.60866413477794
456,922,-377.84779772130014
457,923,-357.36301794917017
458,925,-421.62671615425313
459,931,-395.06404453882783
460,932,-455.557640084945
461,933,-510.00187607645046
462,935,-474.2016884688054
463,939,-459.98151962192486
464,942,-437.2833676597324
465,945,-405.0550308937592
466,949,-380.6495278043833
467,952,-442.5845750239449
468,953,-498.3261175215504
469,954,-463.89350576939535
470,956,-435.0041551924558
471,957,-409.9037396732102
472,958,-468.9133657058892
473,961,-522.0220291353003
474,962,-544.4198262217702
475,964,-589.9778435995931
476,966,-591.4800592396339
477,967,-548.4320533156705
478,969,-593.5888479841034
479,971,-550.629963185693
480,972,-510.3669668671237
481,974,-474.43027018041136
482,976,-450.48724316237025
483,977,-421.03851884613323
484,978,-394.6346669615199
485,979,-370.3712002653679
486,982,-349.13408023883113
487,983,-329.52067221494804
488,984,-396.56860499345316
489,987,-368.01174449410786
490,988,-388.41057004469707
491,996,-364.96951304022735
492,999,-343.8725617362046
493,1000,-324.48530556258413
494,1002,-324.83677500632575
495,1004,-338.3530975056932
496,1005,-320.0177877551239
497,1008,-303.7160089796115
498,1009,-305.5444080816504
499,1011,-289.8899672734853
500,1012,-276.2009705461368
501,1013,-263.4808734915231
502,1014,-337.1327861423707
503,1017,-355.8195075281336
504,1025,-372.7375567753203
505,1026,-351.36380109778827
506,1027,-416.2274209880094
507,1029,-385.50467888920844
508,1031,-408.0542110002876
509,1032,-384.34878990025885
510,1033,-445.91391091023297
511,1035,-417.72251981920965
512,1037,-391.25026783728873
513,1038,-378.9252410535599
514,1039,-356.5327169482039
515,1042,-420.87944525338355
516,1043,-453.1915007280452
517,1044,-424.37235065524067
518,1049,-433.7351155897166
519,1051,-423.66160403074497
520,1052,-416.49544362767045
521,1054,-392.14589926490345
522,1055,-368.5313093384131
523,1057,-347.7781784045718
524,1063,-328.1003605641147
525,1064,-312.29032450770325
526,1066,-293.2612920569329
527,1068,-363.9351628512396
528,1072,-427.5416465661157
529,1074,-400.4874819095041
530,1076,-460.43873371855364
531,1078,-426.2948603466983
532,1080,-432.36537431202845
533,1082,-489.1288368808256
534,1083,-462.615953192743
535,1084,-432.5543578734687
536,1085,-412.2989220861218
537,1086,-387.56902987750965
538,1090,-372.6121268897587
539,1092,-358.65091420078284
540,1093,-338.5858227807046
541,1099,-327.6272405026341
542,1101,-314.2645164523707
543,1103,-382.8380648071336
544,1104,-440.75425832642026
545,1105,-496.67883249377826
546,1111,-459.31094924440043
547,1114,-430.3798543199604
548,1116,-455.7418688879643
549,1119,-510.1676819991678
550,1122,-559.150913799251
551,1123,-521.6358224193259
552,1125,-569.4722401773932
553,1126,-530.2250161596539
554,1127,-577.2025145436885
555,1128,-619.4822630893196
556,1130,-657.5340367803877
557,1131,-691.7806331023489
558,1133,-691.2025697921141
559,1134,-639.4823128129027
560,1135,-592.0340815316124
561,1138,-548.8306733784511
562,1139,-593.947606040606
563,1141,-634.5528454365455
564,1149,-671.0975608928909
565,1150,-703.9878048036019
566,1151,-646.7890243232417
567,1152,-661.7101218909175
568,1155,-695.5391097018259
569,1156,-641.8851987316433
570,1157,-677.696678858479
571,1160,-709.9270109726311
572,1161,-710.0343098753681
573,1162,-680.5308788878312
574,1165,-629.0777909990481
575,1177,-582.4700118991433
576,1180,-536.323010709229
577,1182,-498.29070963830617
578,1183,-481.36163867447556
579,1185,-533.225474807028
580,1186,-579.9029273263252
581,1189,-621.9126345936927
582,1192,-576.9213711343235
583,1193,-619.2292340208912
584,1194,-568.4063106188022
585,1195,-527.9656795569219
586,1196,-485.96911160122977
587,1197,-537.3722004411068
588,1198,-500.93498039699614
589,1199,-472.0414823572965
590,1201,-524.8373341215669
591,1203,-488.95360070941024
592,1204,-540.0582406384692
593,1206,-502.35241657462234
594,1208,-552.1171749171601
595,1210,-512.7054574254441
596,1211,-561.4349116828997
597,1212,-521.6914205146097
598,1213,-569.5222784631487
599,1214,-529.5700506168339
600,1215,-576.6130455551505
601,1219,-618.9517409996355
602,1224,-657.0565668996719
603,1225,-608.8509102097047
604,1227,-647.9658191887343
605,1228,-619.5692372698609
606,1232,-573.5123135428748
607,1233,-616.1610821885873
608,1234,-572.6449739697287
609,1236,-615.3804765727558
610,1239,-571.2424289154802
611,1242,-529.5181860239322
612,1244,-493.26636742153903
613,1246,-543.9397306793851
614,1247,-589.5457576114466
615,1249,-596.591181850302
616,1250,-636.9320636652718
617,1253,-671.1388572987446
618,1254,-628.6249715688701
619,1255,-589.2624744119831
620,1257,-546.1362269707848
621,1258,-506.9226042737063
622,1259,-471.3303438463357
623,1261,-441.2973094617022
624,1262,-413.467578515532
625,1263,-394.3208206639788
626,1264,-370.2887385975809
627,1265,-349.1598647378228
628,1266,-332.04387826404053
629,1271,-398.8394904376364
630,1272,-458.95554139387275
631,1274,-513.0599872544855
632,1278,-561.7539885290369
633,1279,-605.5785896761331
634,1281,-560.2207307085199
635,1285,-520.398657637668
636,1287,-568.3587918739012
637,1289,-611.5229126865111
638,1291,-565.57062141786
639,1292,-526.513559276074
640,1293,-490.4622033484667
641,1294,-541.41598301362
642,1296,-587.274384712258
643,1299,-628.5469462410322
644,1300,-583.192251616929
645,1302,-624.8730264552361
646,1303,-578.0857238097125
647,1304,-620.2771514287413
648,1306,-574.4494362858673
649,1310,-617.0044926572806
650,1312,-655.3040433915526
651,1313,-607.1736390523973
652,1315,-646.4562751471576
653,1316,-681.8106476324418
654,1319,-629.2295828691977
655,1320,-582.7066245822779
656,1325,-624.4359621240501
657,1326,-661.9923659116452
658,1327,-611.5931293204806
659,1328,-650.4338163884325
660,1330,-600.1904347495893
661,1332,-555.4713912746303
662,1333,-599.9242521471672
663,1334,-555.3318269324504
664,1335,-515.1986442392055
665,1336,-502.17877981528494
666,1337,-475.16090183375644
667,1340,-442.5448116503808
668,1343,-420.59033048534275
669,1345,-401.5312974368085
670,1347,-373.7781676931276
671,1348,-351.90035092381487
672,1349,-331.8103158314334
673,1350,-398.62928424829
674,1351,-373.766355823461
675,1355,-366.18972024111497
676,1359,-429.5707482170035
677,1361,-402.21367339530315
678,1362,-377.2923060557728
679,1365,-439.56307545019547
680,1366,-495.60676790517596
681,1367,-546.0460911146583
682,1370,-582.7414820031925
683,1373,-540.5673338028732
684,1374,-507.4106004225859
685,1375,-556.6695403803272
686,1377,-601.0025863422945
687,1378,-640.9023277080651
688,1379,-676.8120949372586
689,1382,-639.7308854435328
690,1384,-591.1577968991795
691,1385,-548.2420172092616
692,1386,-509.51781548833543
693,1387,-474.3660339395019
694,1388,-526.9294305455517
695,1389,-492.03648749099654
696,1391,-542.8328387418968
697,1392,-588.5495548677071
698,1395,-576.8945993809364
699,1400,-535.3051394428428
700,1412,-498.2746254985585
701,1413,-465.14716294870266
702,1414,-435.3324466538324
703,1415,-407.99920198844916
704,1419,-383.0992817896042
705,1422,-444.78935361064373
706,1423,-417.21041824957933
707,1425,-387.58937642462143
708,1426,-364.2304387821593
709,1427,-344.1073949039434
710,1428,-409.696655413549
711,1430,-384.9269898721941
712,1432,-446.43429088497464
713,1433,-501.7908617964772
714,1434,-471.6117756168295
715,1436,-524.4505980551465
716,1437,-489.4055382496319
717,1438,-501.4649844246687
718,1440,-551.3184859822019
719,1442,-507.58663738398167
720,1448,-531.9279736455835
721,1450,-578.7351762810251
722,1455,-620.8616586529226
723,1456,-658.7754927876304
724,1460,-692.8979435088673
725,1465,-639.4081491579806
726,1466,-675.4673342421826
727,1470,-707.9206008179643
728,1474,-737.1285407361679
729,1477,-676.4156866625511
730,1480,-708.774117996296
731,1481,-737.8967061966664
732,1482,-764.1070355769998
733,1485,-787.6963320192998
734,1486,-770.3266988173698
735,1489,-709.5940289356328
736,1491,-660.4346260420695
737,1492,-694.3911634378625
738,1493,-639.0520470940762
739,1500,-625.8468423846687
740,1501,-580.5621581462018
741,1502,-554.0059423315817
742,1503,-519.2053480984235
743,1505,-483.68481328858115
744,1506,-458.41633195972304
745,1507,-430.77469876375073
746,1508,-403.59722888737565
747,1509,-382.63750599863806
748,1510,-424.8737553987743
749,1511,-397.6863798588969
750,1512,-389.6177418730072
751,1513,-450.6559676857065
752,1516,-426.99037091713586
753,1518,-413.19133382542225
754,1523,-399.87220044288006
755,1524,-395.58498039859205
756,1525,-376.9264823587328
757,1527,-439.23383412285955
758,1534,-415.8104507105736
759,1536,-435.3294056395162
760,1541,-408.8964650755646
761,1542,-389.00681856800816
762,1546,-366.60613671120734
763,1548,-366.8455230400866
764,1549,-430.16097073607796
765,1551,-407.4448736624702
766,1552,-390.00038629622316
767,1554,-451.0003476666009
768,1555,-494.00031289994075
769,1561,-544.6002816099467
770,1562,-590.140253448952
771,1563,-547.6262281040567
772,1568,-518.8636052936511
773,1569,-483.77724476428597
774,1578,-487.3995202878574
775,1579,-459.5595682590716
776,1582,-452.2036114331645
777,1583,-506.983250289848
778,1584,-556.2849252608631
779,1586,-521.6564327347768
780,1588,-498.0907894612991
781,1590,-472.2817105151692
