Wall time,Step,Value
1651114820.619015,5,1000.0
1651114821.074292,6,1000.0
1651114823.4760134,10,1000.0
1651114824.162319,11,1000.0
1651114825.7828429,13,1000.0
1651114826.5908434,14,1000.0
1651114827.3898435,15,1000.0
1651114828.9657533,17,1000.0
1651114829.7205906,18,1000.0
1651114830.4475887,19,1000.0
1651114831.1316128,20,1000.0
1651114834.073714,24,1000.0
1651114841.4313726,33,1000.0
1651114842.146724,34,1000.0
1651114843.6781013,36,1000.0
1651114846.432249,39,1000.0
1651114847.2018511,40,1000.0
1651114848.7940776,42,1000.0
1651114850.2326999,44,1000.0
1651114851.0329826,45,1000.0
1651114852.5057867,47,1000.0
1651114854.030494,49,1000.0
1651114854.7522285,50,1000.0
1651114857.1469626,53,1000.0
1651114857.9179351,54,1000.0
1651114858.646702,55,1000.0
1651114859.3730597,56,1000.0
1651114860.1651978,57,1000.0
1651114862.6270964,60,1000.0
1651114863.8549948,61,1000.0
1651114865.6040475,63,1000.0
1651114867.2004128,65,1000.0
1651114867.9610374,66,1000.0
1651114868.8417485,67,1000.0
1651114869.666819,68,1000.0
1651114872.1334193,71,1000.0
1651114872.9811556,72,1000.0
1651114873.7839549,73,1000.0
1651114874.6368911,74,1000.0
1651114876.1549144,76,1000.0
1651114878.4866288,79,1000.0
1651114882.225568,84,1000.0
1651114882.9599423,85,1000.0
1651114883.7257113,86,1000.0
1651114884.5072234,87,1000.0
1651114885.241598,88,1000.0
1651114885.9764068,89,1000.0
1651114889.8515835,94,1000.0
1651114895.850851,102,1000.0
1651114898.1289873,105,1000.0
1651114898.8831866,106,1000.0
1651114904.2513986,113,1000.0
1651114906.5020368,116,1000.0
1651114908.002254,118,1000.0
1651114908.7463343,119,1000.0
1651114909.522285,120,1000.0
1651114912.6319587,124,1000.0
1651114913.3668268,125,1000.0
1651114914.0928264,126,1000.0
1651114916.3404748,129,1000.0
1651114917.0748508,130,1000.0
1651114919.4924102,133,1000.0
1651114922.5718293,137,1000.0
1651114924.1044173,139,1000.0
1651114925.6048512,141,1000.0
1651114926.35503,142,1000.0
1651114927.1533735,143,1000.0
1651114927.9189947,144,1000.0
1651114931.045766,148,1000.0
1651114932.8602982,150,1000.0
1651114935.6031501,153,1000.0
1651114936.4018438,154,1000.0
1651114937.1518424,155,1000.0
1651114938.678197,157,1000.0
1651114939.4338386,158,1000.0
1651114940.21734,159,1000.0
1651114942.6688378,162,1000.0
1651114944.5206242,164,1000.0
1651114945.4783869,165,1000.0
1651114947.2549438,167,759.0
1651114948.0861928,168,1000.0
1651114950.412708,171,758.0
1651114953.7098393,176,1000.0
1651114954.093223,177,274.0
1651114954.8834164,178,1000.0
1651114956.2777476,180,1000.0
1651114956.6948087,181,254.0
1651114958.1702096,183,1000.0
1651114959.014403,185,486.0
1651114959.787603,186,1000.0
1651114960.1938586,187,267.0
1651114960.881269,188,734.0
1651114961.853302,190,220.0
1651114962.2104013,191,194.0
1651114965.3848479,198,887.0
1651114967.0696647,202,167.0
1651114969.0813847,206,1000.0
1651114969.5019684,207,158.0
1651114970.3509426,208,1000.0
1651114972.7089806,212,792.0
1651114975.2496827,215,1000.0
1651114977.2347558,218,158.0
1651114977.6702967,219,157.0
1651114979.206718,222,698.0
1651114979.9013803,223,691.0
1651114980.6996398,225,240.0
1651114981.1576684,226,153.0
1651114981.5559053,227,158.0
1651114982.7775578,229,159.0
1651114983.2022939,230,152.0
1651114984.0039966,232,158.0
1651114984.4210286,233,156.0
1651114984.8152373,234,149.0
1651114985.9566538,237,149.0
1651114988.093833,240,1000.0
1651114990.3761888,245,143.0
1651114991.179554,247,159.0
1651114992.2240884,249,147.0
1651114992.7010894,250,161.0
1651114994.8293276,255,147.0
1651114995.974339,258,145.0
1651114996.324044,259,145.0
1651114996.6425836,260,142.0
1651114997.1452138,261,524.0
1651114997.8829343,263,145.0
1651114999.278747,267,142.0
1651114999.94857,269,153.0
1651115000.8110616,271,569.0
1651115001.480484,273,210.0
1651115003.7598715,278,136.0
1651115004.490887,280,195.0
1651115005.9500003,284,138.0
1651115007.910037,289,459.0
1651115008.594945,291,138.0
1651115009.0152848,292,205.0
1651115010.1534443,295,137.0
1651115010.99317,297,413.0
1651115011.3091807,298,146.0
1651115011.688289,299,266.0
1651115012.4173295,301,136.0
1651115012.76062,302,194.0
1651115013.1172447,303,140.0
1651115014.5539966,307,151.0
1651115014.8888755,308,208.0
1651115015.5640152,310,134.0
1651115016.7349622,313,136.0
1651115018.020809,317,138.0
1651115018.3308434,318,134.0
1651115018.6628242,319,137.0
1651115019.0065973,320,138.0
1651115019.6658869,322,135.0
1651115020.6893878,325,132.0
1651115021.01699,326,132.0
1651115021.3327775,327,151.0
1651115022.314083,330,135.0
1651115022.649771,331,136.0
1651115023.7469287,333,997.0
1651115025.9083817,339,254.0
1651115026.6537445,341,136.0
1651115027.7542498,344,193.0
1651115028.0966976,345,143.0
1651115028.8665493,347,197.0
1651115029.4919019,348,664.0
1651115031.5158093,353,198.0
1651115031.8921487,354,245.0
1651115032.6239464,356,198.0
1651115033.3636484,358,202.0
1651115033.6969402,359,184.0
1651115034.1021402,360,265.0
1651115035.2168522,363,271.0
1651115035.616769,364,264.0
1651115036.8390532,367,264.0
1651115037.1780097,368,199.0
1651115037.8953846,370,265.0
1651115038.2876747,371,208.0
1651115039.4215958,373,1000.0
1651115041.3221514,377,1000.0
1651115042.0849547,378,1000.0
1651115042.3913078,379,141.0
1651115043.1004543,381,199.0
1651115043.4155009,382,134.0
1651115044.5668387,385,378.0
1651115045.0038106,386,371.0
1651115045.357272,387,140.0
1651115045.7212062,388,215.0
1651115046.464054,390,261.0
1651115047.2653456,391,1000.0
1651115047.7978857,392,498.0
1651115048.2218378,393,322.0
1651115051.4605482,402,260.0
1651115051.8111684,403,207.0
1651115052.507781,405,137.0
1651115053.5367248,408,285.0
1651115055.9752905,415,143.0
1651115056.317458,416,140.0
1651115057.6251304,420,146.0
1651115057.9694755,421,139.0
1651115058.298649,422,142.0
1651115059.0235524,424,207.0
1651115059.8146749,426,214.0
1651115061.2309122,430,220.0
1651115064.3498929,439,143.0
1651115064.6820178,440,141.0
1651115065.0118093,441,141.0
1651115065.3234925,442,138.0
1651115065.9983718,444,137.0
1651115066.3208535,445,145.0
1651115067.329073,448,152.0
1651115068.3644793,451,263.0
1651115071.3394692,458,137.0
1651115071.657732,459,140.0
1651115071.986398,460,140.0
1651115072.3641362,461,139.0
1651115073.1141968,463,142.0
1651115073.5262034,464,144.0
1651115073.9318821,465,140.0
1651115074.79623,467,141.0
1651115075.1399798,468,141.0
1651115075.4840956,469,145.0
1651115076.345424,471,142.0
1651115077.131856,473,144.0
1651115077.506851,474,140.0
1651115078.9859283,478,138.0
1651115081.5041673,485,142.0
1651115082.48401,488,137.0
1651115082.797657,489,145.0
1651115083.4585135,491,140.0
1651115084.075445,493,143.0
1651115085.1175127,496,140.0
1651115088.665655,507,147.0
1651115089.6499522,510,140.0
1651115090.0207176,511,142.0
1651115090.3598523,512,138.0
1651115091.055247,514,138.0
1651115091.7378075,516,143.0
1651115092.1139913,517,142.0
1651115092.9938626,519,145.0
1651115094.6800385,524,147.0
1651115095.4502866,525,1000.0
1651115097.7012672,531,152.0
1651115098.4849186,533,159.0
1651115098.8381765,534,152.0
1651115099.1670897,535,153.0
1651115099.5194855,536,149.0
1651115099.8605242,537,150.0
1651115100.2994812,538,148.0
1651115100.7072563,539,144.0
1651115101.1066294,540,215.0
1651115101.453887,541,151.0
1651115101.8086667,542,148.0
1651115102.4553912,544,147.0
1651115103.524597,547,150.0
1651115104.2866619,548,1000.0
1651115104.6016293,549,143.0
1651115105.2841501,551,141.0
1651115106.6417916,555,146.0
1651115107.3137908,557,143.0
1651115107.9547415,559,149.0
1651115109.2923815,563,141.0
1651115109.6365962,564,210.0
1651115109.9516385,565,149.0
1651115110.629197,567,145.0
1651115111.3172584,569,144.0
1651115112.0101957,571,145.0
1651115112.6523533,573,143.0
1651115112.984859,574,143.0
1651115113.9554434,577,145.0
1651115114.6666906,579,143.0
1651115115.0673945,580,145.0
1651115115.4130223,581,145.0
1651115115.7332792,582,143.0
1651115116.076403,583,150.0
1651115116.456637,584,148.0
1651115117.2186081,586,151.0
1651115117.552347,587,146.0
1651115119.8830283,592,146.0
1651115120.3227205,593,146.0
1651115121.166616,595,148.0
1651115121.635697,596,150.0
1651115122.0575888,597,149.0
1651115123.2690926,600,154.0
1651115124.0336173,602,145.0
1651115124.993508,604,155.0
1651115125.7787638,606,151.0
1651115126.590808,608,147.0
1651115127.3029864,610,151.0
1651115127.6586967,611,152.0
1651115127.9924607,612,152.0
1651115129.2137961,615,151.0
1651115130.7135906,619,150.0
1651115131.0728476,620,147.0
1651115131.8818579,622,148.0
1651115132.3136122,623,153.0
1651115133.1208065,625,152.0
1651115134.488683,629,154.0
1651115136.1467628,634,155.0
1651115138.4630082,641,149.0
1651115138.8223774,642,149.0
1651115139.463559,644,150.0
1651115139.776591,645,147.0
1651115140.1359637,646,146.0
1651115140.4328387,647,148.0
1651115140.7614093,648,153.0
1651115141.0739112,649,152.0
1651115141.7149494,651,148.0
1651115142.0591068,652,151.0
1651115143.4349625,656,143.0
1651115143.7630987,657,149.0
1651115144.4194694,659,153.0
1651115145.060557,661,156.0
1651115146.045906,664,153.0
1651115146.812377,666,148.0
1651115147.2395086,667,149.0
1651115147.6201198,668,152.0
1651115148.7149305,671,160.0
1651115149.1029673,672,151.0
1651115149.466349,673,146.0
1651115149.820228,674,155.0
1651115150.2590528,675,152.0
1651115150.9574866,677,147.0
1651115151.2891345,678,144.0
1651115151.6333866,679,148.0
1651115152.5055573,681,143.0
1651115152.8795538,682,148.0
1651115153.255948,683,154.0
1651115153.6600893,684,142.0
1651115154.0172806,685,149.0
1651115154.3873732,686,155.0
1651115155.108979,688,156.0
1651115155.4534388,689,153.0
1651115156.4378963,692,151.0
1651115157.85005,696,150.0
1651115158.906188,699,159.0
1651115159.297547,700,156.0
1651115159.683738,701,151.0
1651115160.5283706,703,154.0
1651115160.8913891,704,151.0
1651115161.25054,705,154.0
1651115161.649407,706,151.0
1651115162.4175932,708,150.0
1651115162.7989635,709,159.0
1651115163.1639173,710,161.0
1651115164.5398965,714,159.0
1651115165.8372898,718,157.0
1651115166.1497943,719,165.0
1651115166.8272102,721,158.0
1651115167.2611668,722,158.0
1651115167.658227,723,152.0
1651115168.0361774,724,153.0
1651115168.4091227,725,155.0
1651115168.7978058,726,154.0
1651115170.1395502,729,148.0
1651115170.5687819,730,155.0
1651115172.7429786,736,157.0
1651115173.5090704,738,169.0
1651115173.8494303,739,151.0
1651115174.2087672,740,155.0
1651115174.5681407,741,158.0
1651115175.240239,743,151.0
1651115176.1944065,746,161.0
1651115176.5069027,747,150.0
1651115177.524129,750,152.0
1651115177.9072464,751,148.0
1651115178.2438698,752,152.0
1651115178.9005053,754,159.0
1651115179.541463,756,151.0
1651115180.5285962,759,149.0
1651115180.8884995,760,158.0
1651115181.5372345,762,152.0
1651115182.5088263,765,152.0
1651115182.8837702,766,154.0
1651115183.227639,767,149.0
1651115183.8840497,769,150.0
1651115184.2278032,770,154.0
1651115184.5623527,771,150.0
1651115185.2282588,773,159.0
1651115185.5564165,774,149.0
1651115185.8849754,775,161.0
1651115187.4966924,780,158.0
1651115189.0347428,784,152.0
1651115189.4425013,785,160.0
1651115190.1523979,787,157.0
1651115190.8403184,789,155.0
1651115191.5151098,791,155.0
1651115191.8362014,792,159.0
1651115192.1658714,793,163.0
1651115192.47833,794,153.0
1651115192.8067937,795,160.0
1651115193.119328,796,149.0
1651115193.8856297,798,160.0
1651115194.6204972,800,160.0
1651115195.3226337,802,152.0
